deckId,lane,occupiedSnapshots,snapshots,occupancyRate
forschung_muskelkraft,1,3159,6680,0.47290419161676644
forschung_muskelkraft,2,3158,6680,0.4727544910179641
forschung_muskelkraft,3,3291,6680,0.49266467065868264
forschung_muskelkraft,4,3168,6680,0.474251497005988
forschung_muskelkraft,5,3266,6680,0.48892215568862274
rudeljaeger,1,2495,5840,0.4272260273972603
rudeljaeger,2,2518,5840,0.4311643835616438
rudeljaeger,3,2521,5840,0.43167808219178083
rudeljaeger,4,2596,5840,0.44452054794520546
rudeljaeger,5,2553,5840,0.43715753424657533
solidaritaet_ueberleben,1,3527,7124,0.4950870297585626
solidaritaet_ueberleben,2,3502,7124,0.49157776530039304
solidaritaet_ueberleben,3,3501,7124,0.49143739472206627
solidaritaet_ueberleben,4,3595,7124,0.5046322290847838
solidaritaet_ueberleben,5,3499,7124,0.4911566535654127
urzeitliche_kolosse,1,2268,5900,0.38440677966101694
urzeitliche_kolosse,2,2351,5900,0.39847457627118643
urzeitliche_kolosse,3,2309,5900,0.3913559322033898
urzeitliche_kolosse,4,2323,5900,0.39372881355932204
urzeitliche_kolosse,5,2358,5900,0.39966101694915257
