matchId,deckId,botType,side,winner,startingPlayer,roundsPlayed,baseHealth,cardsDrawn,cardsPlayed,energySpent,energyUnused,creaturesSummoned,creaturesDestroyed,baseDamage,healing,laneMoves
match-5e10ec2f-0,forschung_muskelkraft,standard,0,0,1,5,-2,10,4,12,3,3,2,3,0,0
match-5e10ec2f-0,rudeljaeger,standard,1,1,0,5,7,10,5,14,1,4,0,12,0,0
match-e4c39b71-1,forschung_muskelkraft,standard,0,1,1,9,3,21,11,38,4,9,9,12,0,0
match-e4c39b71-1,rudeljaeger,standard,1,0,0,9,-2,13,12,35,5,11,4,7,0,1
match-50abadaa-2,forschung_muskelkraft,standard,0,0,1,5,-2,13,6,13,2,4,2,0,0,0
match-50abadaa-2,rudeljaeger,standard,1,1,0,5,10,10,5,13,1,5,1,12,0,0
match-d75e5cec-3,forschung_muskelkraft,standard,0,1,1,11,2,22,14,51,9,12,13,12,0,0
match-d75e5cec-3,rudeljaeger,standard,1,0,0,11,-2,16,15,43,19,14,8,8,0,1
match-78db6939-4,forschung_muskelkraft,standard,0,0,1,5,-2,11,5,13,2,3,3,5,0,0
match-78db6939-4,rudeljaeger,standard,1,1,0,5,5,10,5,14,1,5,1,12,0,0
match-ff8e187b-5,forschung_muskelkraft,standard,0,1,1,15,4,22,16,63,46,14,15,10,0,0
match-ff8e187b-5,rudeljaeger,standard,1,0,0,15,0,21,19,51,57,17,10,6,0,0
match-6b762ab4-6,forschung_muskelkraft,standard,0,1,1,13,4,21,13,52,31,11,11,14,0,0
match-6b762ab4-6,rudeljaeger,standard,1,0,0,13,-4,17,16,43,40,14,6,6,0,2
match-f228d9f6-7,forschung_muskelkraft,standard,0,0,1,5,-2,13,4,12,3,3,0,0,0,0
match-f228d9f6-7,rudeljaeger,standard,1,1,0,5,10,10,5,14,1,5,1,12,0,0
match-287bf21b-8,forschung_muskelkraft,standard,0,1,1,9,1,15,9,33,9,8,7,13,0,0
match-287bf21b-8,rudeljaeger,standard,1,0,0,9,-3,13,12,29,12,10,3,9,0,0
match-af2e815d-9,forschung_muskelkraft,standard,0,1,1,7,5,17,10,27,1,8,7,10,0,0
match-af2e815d-9,rudeljaeger,standard,1,0,0,7,0,13,10,26,2,9,5,5,0,0
match-1b16b396-10,forschung_muskelkraft,standard,0,0,1,6,0,14,6,18,2,5,4,2,0,0
match-1b16b396-10,rudeljaeger,standard,1,1,0,6,8,10,8,19,0,8,2,10,0,0
match-a1c942d8-11,forschung_muskelkraft,standard,0,0,1,8,-2,14,8,32,3,8,5,6,0,0
match-a1c942d8-11,rudeljaeger,standard,1,1,0,8,4,14,10,27,7,8,8,12,0,1
match-43466f25-12,forschung_muskelkraft,standard,0,0,1,7,-3,13,7,25,3,6,5,6,0,0
match-43466f25-12,rudeljaeger,standard,1,1,0,7,4,13,10,24,3,8,2,13,0,0
match-c9f91e67-13,forschung_muskelkraft,standard,0,0,1,7,-4,15,7,24,4,5,4,7,0,0
match-c9f91e67-13,rudeljaeger,standard,1,1,0,7,3,11,10,25,1,9,1,14,0,2
match-35e130a0-14,forschung_muskelkraft,standard,0,1,1,15,1,22,17,69,44,15,13,9,0,0
match-35e130a0-14,rudeljaeger,standard,1,0,0,15,0,20,18,52,53,16,12,8,0,2
match-bc93dfe2-15,forschung_muskelkraft,standard,0,1,1,5,3,11,4,13,2,4,3,10,0,0
match-bc93dfe2-15,rudeljaeger,standard,1,0,0,5,0,11,5,12,2,5,1,7,0,0
match-c93ae057-16,forschung_muskelkraft,standard,0,1,1,12,2,21,12,46,26,10,12,12,0,0
match-c93ae057-16,rudeljaeger,standard,1,0,0,12,-2,16,15,40,28,13,6,8,0,3
match-4fed8f9a-17,forschung_muskelkraft,standard,0,0,1,11,0,21,12,46,14,10,12,6,0,0
match-4fed8f9a-17,rudeljaeger,standard,1,1,0,11,4,16,15,43,18,14,7,10,0,1
match-bbd5a1d2-18,forschung_muskelkraft,standard,0,0,1,5,-3,10,2,9,6,2,1,0,0,0
match-bbd5a1d2-18,rudeljaeger,standard,1,1,0,5,10,9,4,12,1,4,0,13,0,0
match-42885115-19,forschung_muskelkraft,standard,0,1,1,15,1,23,10,40,65,8,15,13,0,0
match-42885115-19,rudeljaeger,standard,1,0,0,15,-3,20,19,55,52,17,3,9,0,1
match-e4057d61-20,forschung_muskelkraft,standard,0,1,1,7,4,15,7,25,1,6,7,10,0,0
match-e4057d61-20,rudeljaeger,standard,1,0,0,7,0,12,10,24,3,9,1,6,0,0
match-6ab80ca4-21,forschung_muskelkraft,standard,0,1,1,15,3,22,16,63,42,14,16,9,0,0
match-6ab80ca4-21,rudeljaeger,standard,1,0,0,15,0,21,19,53,57,17,11,6,0,0
match-d6a03edc-22,forschung_muskelkraft,standard,0,1,1,10,4,18,10,38,7,9,10,13,0,0
match-d6a03edc-22,rudeljaeger,standard,1,0,0,10,-3,15,14,38,8,12,4,6,0,0
match-5d52ce1f-23,forschung_muskelkraft,standard,0,1,1,10,5,19,10,39,11,8,10,13,0,0
match-5d52ce1f-23,rudeljaeger,standard,1,0,0,10,-3,17,14,36,10,12,3,5,0,2
match-93a5e643-24,forschung_muskelkraft,standard,0,0,1,13,0,23,14,52,39,12,10,6,0,0
match-93a5e643-24,rudeljaeger,standard,1,1,0,13,4,17,16,46,33,14,8,10,0,2
match-1a589586-25,forschung_muskelkraft,standard,0,1,1,14,4,23,14,59,32,12,15,15,0,0
match-1a589586-25,rudeljaeger,standard,1,0,0,14,-5,21,19,51,44,17,7,6,0,0
match-8640a7be-26,forschung_muskelkraft,standard,0,0,1,7,-2,14,6,23,4,5,5,9,0,0
match-8640a7be-26,rudeljaeger,standard,1,1,0,7,1,11,8,24,1,7,3,12,0,0
match-0cf35701-27,forschung_muskelkraft,standard,0,1,1,7,2,15,7,24,2,6,7,12,0,0
match-0cf35701-27,rudeljaeger,standard,1,0,0,7,-2,12,9,23,3,9,1,8,0,0
match-ae70634d-28,forschung_muskelkraft,standard,0,0,1,9,-1,18,12,39,5,10,6,7,0,0
match-ae70634d-28,rudeljaeger,standard,1,1,0,9,3,13,11,34,2,10,6,11,0,1
match-35231290-29,forschung_muskelkraft,standard,0,1,1,6,6,12,5,18,2,5,5,13,0,0
match-35231290-29,rudeljaeger,standard,1,0,0,6,-3,10,8,18,2,7,2,4,0,0
match-a10b24c8-30,forschung_muskelkraft,standard,0,0,1,5,0,11,4,10,5,3,3,0,0,0
match-a10b24c8-30,rudeljaeger,standard,1,1,0,5,10,10,5,15,0,5,1,10,0,0
match-27bdd40b-31,forschung_muskelkraft,standard,0,0,1,5,0,12,5,14,1,4,2,0,0,0
match-27bdd40b-31,rudeljaeger,standard,1,1,0,5,10,10,4,13,2,4,2,10,0,0
match-87bce3de-32,forschung_muskelkraft,standard,0,1,1,13,4,23,11,38,40,9,12,11,0,0
match-87bce3de-32,rudeljaeger,standard,1,0,0,13,-1,19,17,49,32,15,4,6,0,1
match-0e6f9321-33,forschung_muskelkraft,standard,0,0,1,3,0,9,2,4,1,2,0,0,0,0
match-0e6f9321-33,rudeljaeger,standard,1,1,0,3,10,7,3,5,0,3,0,10,0,0
match-7a57a559-34,forschung_muskelkraft,standard,0,1,1,15,1,21,15,59,50,13,14,9,0,0
match-7a57a559-34,rudeljaeger,standard,1,0,0,15,0,19,18,51,57,16,10,8,0,2
match-010a549c-35,forschung_muskelkraft,standard,0,1,1,9,3,20,9,31,10,7,7,10,0,0
match-010a549c-35,rudeljaeger,standard,1,0,0,9,0,13,12,29,9,10,2,7,0,0
match-a28760e8-36,forschung_muskelkraft,standard,0,0,1,5,-2,11,5,14,1,4,3,6,0,0
match-a28760e8-36,rudeljaeger,standard,1,1,0,5,4,11,5,14,1,5,0,12,0,0
match-293a102b-37,forschung_muskelkraft,standard,0,0,1,5,-1,13,5,14,1,4,2,0,0,0
match-293a102b-37,rudeljaeger,standard,1,1,0,5,10,8,4,14,1,4,2,11,0,0
match-95222263-38,forschung_muskelkraft,standard,0,1,1,6,2,12,6,17,4,4,3,10,0,0
match-95222263-38,rudeljaeger,standard,1,0,0,6,0,11,8,19,1,8,1,8,0,0
match-1bd4d1a6-39,forschung_muskelkraft,standard,0,1,1,10,3,21,11,40,10,9,10,11,0,0
match-1bd4d1a6-39,rudeljaeger,standard,1,0,0,10,-1,15,13,36,13,11,5,7,0,0
match-5227e9ca-40,forschung_muskelkraft,standard,0,1,1,11,2,23,14,52,10,12,8,10,0,0
match-5227e9ca-40,rudeljaeger,standard,1,0,0,11,0,15,14,38,21,12,7,8,0,1
match-d8da990c-41,forschung_muskelkraft,standard,0,1,1,9,3,19,10,34,7,8,7,11,0,0
match-d8da990c-41,rudeljaeger,standard,1,0,0,9,-1,13,13,36,3,11,4,7,0,1
match-44c2ab45-42,forschung_muskelkraft,standard,0,0,1,10,0,20,13,49,5,11,9,4,0,0
match-44c2ab45-42,rudeljaeger,standard,1,1,0,10,6,14,13,41,6,12,8,10,0,3
match-cb755a87-43,forschung_muskelkraft,standard,0,0,1,5,-3,11,5,13,2,5,3,2,0,0
match-cb755a87-43,rudeljaeger,standard,1,1,0,5,8,10,5,14,1,5,2,13,0,0
match-6cf266d4-44,forschung_muskelkraft,standard,0,0,1,5,-2,12,2,9,6,2,2,0,0,0
match-6cf266d4-44,rudeljaeger,standard,1,1,0,5,10,9,4,12,3,4,0,12,0,0
match-f3a51616-45,forschung_muskelkraft,standard,0,1,1,6,3,14,6,20,1,5,3,11,0,0
match-f3a51616-45,rudeljaeger,standard,1,0,0,6,-1,10,8,19,0,6,1,7,0,1
match-5f8d284f-46,forschung_muskelkraft,standard,0,0,1,5,-3,12,3,11,4,3,3,0,0,0
match-5f8d284f-46,rudeljaeger,standard,1,1,0,5,10,10,5,15,0,5,1,13,0,0
match-e63fd791-47,forschung_muskelkraft,standard,0,1,1,8,3,15,7,28,6,5,9,11,0,0
match-e63fd791-47,rudeljaeger,standard,1,0,0,8,-1,13,11,25,8,10,1,7,0,0
match-f2e6f806-48,forschung_muskelkraft,standard,0,0,1,7,-3,13,7,21,4,5,6,5,0,0
match-f2e6f806-48,rudeljaeger,standard,1,1,0,7,5,10,8,24,0,8,4,13,0,1
match-79998749-49,forschung_muskelkraft,standard,0,1,1,15,3,22,20,75,32,18,16,9,0,0
match-79998749-49,rudeljaeger,standard,1,0,0,15,0,21,19,54,55,17,16,6,0,2
match-e581b981-50,forschung_muskelkraft,standard,0,0,1,4,-2,9,3,7,3,2,0,3,0,0
match-e581b981-50,rudeljaeger,standard,1,1,0,4,7,9,4,9,1,3,0,12,0,0
match-6c3448c4-51,forschung_muskelkraft,standard,0,1,1,12,4,23,12,44,22,10,10,10,0,0
match-6c3448c4-51,rudeljaeger,standard,1,0,0,12,0,17,15,41,28,13,5,6,0,0
match-0db17511-52,forschung_muskelkraft,standard,0,0,1,7,-2,14,7,26,2,7,6,4,0,0
match-0db17511-52,rudeljaeger,standard,1,1,0,7,6,12,9,26,0,9,4,12,0,0
match-94640453-53,forschung_muskelkraft,standard,0,1,1,12,1,23,11,37,30,9,11,12,0,0
match-94640453-53,rudeljaeger,standard,1,0,0,12,-2,16,15,44,24,13,4,9,0,1
match-004c368c-54,forschung_muskelkraft,standard,0,0,1,9,0,18,12,40,2,10,7,9,0,0
match-004c368c-54,rudeljaeger,standard,1,1,0,9,1,14,12,32,4,11,8,10,0,0
match-86fec5ce-55,forschung_muskelkraft,standard,0,0,1,9,0,17,11,34,10,9,8,9,0,0
match-86fec5ce-55,rudeljaeger,standard,1,1,0,9,1,14,13,35,6,12,5,10,0,0
match-bd51fdf2-56,forschung_muskelkraft,standard,0,0,1,6,-2,12,5,17,4,4,2,3,0,0
match-bd51fdf2-56,rudeljaeger,standard,1,1,0,6,7,10,7,19,1,7,2,12,0,0
match-44048d35-57,forschung_muskelkraft,standard,0,0,1,5,0,9,5,14,1,4,3,2,0,0
match-44048d35-57,rudeljaeger,standard,1,1,0,5,8,10,6,14,0,6,0,10,0,0
match-afecbf6d-58,forschung_muskelkraft,standard,0,0,1,5,0,11,5,13,2,5,4,3,0,0
match-afecbf6d-58,rudeljaeger,standard,1,1,0,5,7,10,6,14,1,6,3,10,0,0
match-369f4eb0-59,forschung_muskelkraft,standard,0,1,1,12,6,20,13,49,17,11,13,12,0,0
match-369f4eb0-59,rudeljaeger,standard,1,0,0,12,-2,16,15,42,27,14,6,4,0,0
match-d81c7afc-60,forschung_muskelkraft,standard,0,1,1,14,3,22,12,51,40,10,14,17,0,0
match-d81c7afc-60,rudeljaeger,standard,1,0,0,14,-7,19,17,46,48,16,5,7,0,1
match-5ecf0a3f-61,forschung_muskelkraft,standard,0,1,1,12,1,22,12,44,22,10,13,14,0,0
match-5ecf0a3f-61,rudeljaeger,standard,1,0,0,12,-4,16,15,40,28,13,6,9,0,1
match-cab73c77-62,forschung_muskelkraft,standard,0,1,1,13,1,22,14,55,28,12,13,10,0,0
match-cab73c77-62,rudeljaeger,standard,1,0,0,13,0,19,17,49,35,15,10,9,0,3
match-5169cbba-63,forschung_muskelkraft,standard,0,1,1,11,1,22,13,50,11,11,9,10,0,0
match-5169cbba-63,rudeljaeger,standard,1,0,0,11,0,15,14,42,16,12,7,9,0,1
match-0ab8fcd1-64,forschung_muskelkraft,standard,0,0,1,7,0,14,9,26,1,7,5,6,0,0
match-0ab8fcd1-64,rudeljaeger,standard,1,1,0,7,4,11,9,25,2,8,3,10,0,0
match-916b8c13-65,forschung_muskelkraft,standard,0,0,1,5,-1,10,6,14,1,4,2,6,0,0
match-916b8c13-65,rudeljaeger,standard,1,1,0,5,4,9,6,15,0,5,1,11,0,0
match-fd53be4b-66,forschung_muskelkraft,standard,0,0,1,3,0,9,1,2,1,1,0,2,0,0
