matchId,deckId,botType,side,round,targetsAffected,attackRemoved,healthRemoved,boardValueBefore,boardValueAfter,boardValueRemoved,won,winWithinOneRound,winWithinTwoRounds
match-d75e5cec-3,forschung_muskelkraft,standard,0,6,3,10,8,21,3,18,true,false,false
match-d75e5cec-3,rudeljaeger,standard,1,8,3,12,16,31,3,28,false,false,false
match-ff8e187b-5,rudeljaeger,standard,1,6,1,5,6,12,1,11,false,false,false
match-ff8e187b-5,forschung_muskelkraft,standard,0,9,4,8,10,22,4,18,true,false,false
match-6b762ab4-6,rudeljaeger,standard,1,6,3,11,10,24,3,21,false,false,false
match-6b762ab4-6,forschung_muskelkraft,standard,0,6,4,10,12,26,4,22,true,false,false
match-287bf21b-8,forschung_muskelkraft,standard,0,6,3,8,6,17,3,14,true,false,false
match-c9f91e67-13,forschung_muskelkraft,standard,0,6,3,9,6,18,3,15,false,false,false
match-35e130a0-14,forschung_muskelkraft,standard,0,6,3,7,4,14,3,11,true,false,false
match-35e130a0-14,rudeljaeger,standard,1,13,5,21,23,49,5,44,false,false,false
match-c93ae057-16,forschung_muskelkraft,standard,0,6,5,4,4,13,5,8,true,false,false
match-4fed8f9a-17,rudeljaeger,standard,1,6,2,9,10,21,2,19,true,false,false
match-4fed8f9a-17,forschung_muskelkraft,standard,0,6,3,4,6,13,3,10,false,false,false
match-42885115-19,rudeljaeger,standard,1,6,2,9,10,21,2,19,false,false,false
match-42885115-19,forschung_muskelkraft,standard,0,6,4,8,10,22,4,18,true,false,false
match-e4057d61-20,forschung_muskelkraft,standard,0,6,3,3,0,6,3,3,true,true,true
match-6ab80ca4-21,rudeljaeger,standard,1,6,3,10,12,25,3,22,false,false,false
match-6ab80ca4-21,forschung_muskelkraft,standard,0,7,2,8,10,20,2,18,true,false,false
match-d6a03edc-22,rudeljaeger,standard,1,6,3,11,12,26,3,23,false,false,false
match-d6a03edc-22,forschung_muskelkraft,standard,0,7,2,8,10,20,2,18,true,false,false
match-5d52ce1f-23,forschung_muskelkraft,standard,0,6,4,13,12,29,4,25,true,false,false
match-93a5e643-24,rudeljaeger,standard,1,6,3,11,11,25,3,22,true,false,false
match-93a5e643-24,forschung_muskelkraft,standard,0,7,5,11,12,28,5,23,false,false,false
match-1a589586-25,forschung_muskelkraft,standard,0,6,5,8,4,17,5,12,true,false,false
match-1a589586-25,rudeljaeger,standard,1,8,4,18,28,50,4,46,false,false,false
match-8640a7be-26,rudeljaeger,standard,1,6,3,11,16,30,3,27,true,true,true
match-ae70634d-28,rudeljaeger,standard,1,7,5,21,24,50,5,45,true,false,true
match-87bce3de-32,forschung_muskelkraft,standard,0,11,2,5,4,11,2,9,true,false,true
match-87bce3de-32,rudeljaeger,standard,1,12,4,4,6,14,4,10,false,false,false
match-7a57a559-34,forschung_muskelkraft,standard,0,9,2,0,0,2,2,0,true,false,false
match-7a57a559-34,rudeljaeger,standard,1,13,5,8,9,22,5,17,false,false,false
match-010a549c-35,forschung_muskelkraft,standard,0,6,2,8,6,16,2,14,true,false,false
match-95222263-38,forschung_muskelkraft,standard,0,6,4,7,6,17,4,13,true,true,true
match-1bd4d1a6-39,forschung_muskelkraft,standard,0,7,2,7,6,15,2,13,true,false,false
match-5227e9ca-40,rudeljaeger,standard,1,7,4,18,21,43,4,39,false,false,false
match-5227e9ca-40,forschung_muskelkraft,standard,0,9,4,7,8,19,4,15,true,false,true
match-d8da990c-41,forschung_muskelkraft,standard,0,6,4,14,10,28,4,24,true,false,false
match-d8da990c-41,rudeljaeger,standard,1,7,4,17,24,45,4,41,false,false,false
match-44c2ab45-42,rudeljaeger,standard,1,6,3,10,15,28,3,25,true,false,false
match-79998749-49,forschung_muskelkraft,standard,0,6,4,12,10,26,4,22,true,false,false
match-79998749-49,rudeljaeger,standard,1,9,4,17,22,43,4,39,false,false,false
match-6c3448c4-51,rudeljaeger,standard,1,8,3,15,21,39,3,36,false,false,false
match-6c3448c4-51,forschung_muskelkraft,standard,0,8,4,4,6,14,4,10,true,false,false
match-0db17511-52,rudeljaeger,standard,1,6,2,9,8,19,2,17,true,true,true
match-94640453-53,rudeljaeger,standard,1,8,3,6,7,16,3,13,false,false,false
match-94640453-53,forschung_muskelkraft,standard,0,8,5,13,12,30,5,25,true,false,false
match-004c368c-54,rudeljaeger,standard,1,7,4,19,24,47,4,43,true,false,true
match-86fec5ce-55,forschung_muskelkraft,standard,0,6,2,4,2,8,2,6,false,false,false
match-86fec5ce-55,rudeljaeger,standard,1,8,5,19,25,49,5,44,true,true,true
match-bd51fdf2-56,forschung_muskelkraft,standard,0,6,4,5,4,13,4,9,false,false,false
match-369f4eb0-59,rudeljaeger,standard,1,6,1,5,5,11,1,10,false,false,false
match-369f4eb0-59,forschung_muskelkraft,standard,0,6,2,8,10,20,2,18,true,false,false
match-d81c7afc-60,rudeljaeger,standard,1,6,3,12,14,29,3,26,false,false,false
