deckId,lane,occupiedSnapshots,snapshots,occupancyRate
forschung_muskelkraft,1,2667,6253,0.4265152726691188
forschung_muskelkraft,2,2712,6253,0.43371181832720296
forschung_muskelkraft,3,2686,6253,0.4295538141691988
forschung_muskelkraft,4,2752,6253,0.44010874780105547
forschung_muskelkraft,5,2789,6253,0.4460259075643691
rudeljaeger,1,2518,5950,0.4231932773109244
rudeljaeger,2,2408,5950,0.4047058823529412
rudeljaeger,3,2485,5950,0.4176470588235294
rudeljaeger,4,2514,5950,0.4225210084033613
rudeljaeger,5,2477,5950,0.41630252100840337
solidaritaet_ueberleben,1,3142,6870,0.45735080058224165
solidaritaet_ueberleben,2,3083,6870,0.4487627365356623
solidaritaet_ueberleben,3,3125,6870,0.45487627365356625
solidaritaet_ueberleben,4,3108,6870,0.4524017467248908
solidaritaet_ueberleben,5,3001,6870,0.43682678311499273
urzeitliche_kolosse,1,2230,5963,0.37397283246687907
urzeitliche_kolosse,2,2116,5963,0.35485493878920005
urzeitliche_kolosse,3,2206,5963,0.36994801274526246
urzeitliche_kolosse,4,2271,5963,0.3808485661579742
urzeitliche_kolosse,5,2366,5963,0.3967801442227067
