deckId,lane,occupiedSnapshots,snapshots,occupancyRate
forschung_muskelkraft,1,2727,6341,0.4300583504179152
forschung_muskelkraft,2,2753,6341,0.4341586500551963
forschung_muskelkraft,3,2744,6341,0.43273931556536827
forschung_muskelkraft,4,2779,6341,0.43825894969247753
forschung_muskelkraft,5,2807,6341,0.442674656994165
rudeljaeger,1,2420,5845,0.41402908468776733
rudeljaeger,2,2368,5845,0.40513259195893925
rudeljaeger,3,2418,5845,0.4136869118905047
rudeljaeger,4,2379,5845,0.4070145423438837
rudeljaeger,5,2461,5845,0.421043627031651
solidaritaet_ueberleben,1,2991,6783,0.44095532950022115
solidaritaet_ueberleben,2,3167,6783,0.46690255049388174
solidaritaet_ueberleben,3,3201,6783,0.47191508182220254
solidaritaet_ueberleben,4,3143,6783,0.4633642930856553
solidaritaet_ueberleben,5,2975,6783,0.43859649122807015
urzeitliche_kolosse,1,2057,5821,0.35337570864112694
urzeitliche_kolosse,2,2075,5821,0.35646796083147225
urzeitliche_kolosse,3,2160,5821,0.3710702628414362
urzeitliche_kolosse,4,2224,5821,0.3820649372959973
urzeitliche_kolosse,5,2199,5821,0.37777014258718433
