cardId,deckId,botType,inDeck,startHand,drawn,played,notPlayed,endHand,playRate,winRateInDeck,winRateDrawn,winRatePlayed,averagePlayRound,creatureDamage,baseDamage,healing,kills,attackGranted,healthGranted,attackRemoved,healthRemoved,buffCreatureDamage,buffBaseDamage,tokensGenerated,movesGenerated
erstsemester,forschung_muskelkraft,standard,1200,259,928,703,225,225,0.7575431034482759,0.5666666666666667,0.5952380952380952,0.5966735966735967,3.9075391180654337,2628,485,0,471,0,0,0,0,0,0,0,0
koffein_junkie,forschung_muskelkraft,standard,1200,240,993,496,497,497,0.499496475327291,0.5666666666666667,0.5912280701754385,0.59,4.534274193548387,2341,569,0,382,0,0,0,0,0,0,0,0
schildwall,forschung_muskelkraft,standard,1200,246,983,912,71,71,0.9277721261444557,0.5666666666666667,0.5769230769230769,0.5941499085923218,5.649122807017544,0,0,0,0,0,2736,0,0,0,0,0,0
die_fakultaet,forschung_muskelkraft,standard,1200,248,848,773,75,75,0.9115566037735849,0.5666666666666667,0.5956607495069034,0.6107660455486542,7.003880983182406,4617,818,0,724,0,0,0,0,0,0,0,0
kranfuehrer,forschung_muskelkraft,standard,1200,259,940,272,668,668,0.28936170212765955,0.5666666666666667,0.6051660516605166,0.5952380952380952,8,1124,517,0,175,0,0,0,0,0,0,0,0
ritter,forschung_muskelkraft,standard,1200,237,922,540,382,382,0.5856832971800434,0.5666666666666667,0.5996343692870201,0.6180048661800487,6.55,3124,487,0,551,0,0,0,0,0,0,0,0
stahlgiesser,forschung_muskelkraft,standard,1200,223,944,622,322,322,0.6588983050847458,0.5666666666666667,0.5800711743772242,0.6633165829145728,8.659163987138264,4025,606,0,519,0,0,0,0,0,0,0,0
pfandsammler,forschung_muskelkraft,standard,600,128,498,278,220,220,0.5582329317269076,0.5666666666666667,0.606425702811245,0.5719424460431655,4.543165467625899,1201,222,0,190,0,0,0,0,0,0,0,0
bibliothekar,forschung_muskelkraft,standard,600,95,479,217,262,262,0.453027139874739,0.5666666666666667,0.5970772442588727,0.6774193548387096,7.147465437788019,594,108,0,132,0,0,0,0,0,0,0,0
kommandantin,forschung_muskelkraft,standard,600,129,471,412,59,59,0.8747346072186837,0.5666666666666667,0.6178343949044586,0.6674757281553398,7.254854368932039,1110,145,0,255,0,0,0,0,0,0,0,0
