deckA,deckB,botA,botB,startingPlayer,games,winsA,winsB,draws,winRateA,averageRounds,averageRemainingBaseHealth
forschung_muskelkraft,rudeljaeger,standard,standard,0,100,56,43,1,0.5656565656565656,8.41,4.05
forschung_muskelkraft,rudeljaeger,standard,standard,1,100,54,46,0,0.54,8.68,5.32
forschung_muskelkraft,solidaritaet_ueberleben,standard,standard,0,100,68,29,3,0.7010309278350515,11.41,4.49
forschung_muskelkraft,solidaritaet_ueberleben,standard,standard,1,100,59,39,2,0.6020408163265306,11.32,4.34
forschung_muskelkraft,urzeitliche_kolosse,standard,standard,0,100,62,38,0,0.62,8.44,4.35
forschung_muskelkraft,urzeitliche_kolosse,standard,standard,1,100,41,59,0,0.41,8.39,4.76
rudeljaeger,solidaritaet_ueberleben,standard,standard,0,100,54,44,2,0.5510204081632653,9.54,4.72
rudeljaeger,solidaritaet_ueberleben,standard,standard,1,100,37,63,0,0.37,9.87,4.21
rudeljaeger,urzeitliche_kolosse,standard,standard,0,100,54,46,0,0.54,7.69,3.67
rudeljaeger,urzeitliche_kolosse,standard,standard,1,100,55,45,0,0.55,7.33,3.91
solidaritaet_ueberleben,urzeitliche_kolosse,standard,standard,0,100,53,47,0,0.53,9.46,4.04
solidaritaet_ueberleben,urzeitliche_kolosse,standard,standard,1,100,40,59,1,0.40404040404040403,10.22,4.22
