matchId,deckId,botType,side,winner,startingPlayer,roundsPlayed,baseHealth,cardsDrawn,cardsPlayed,energySpent,energyUnused,creaturesSummoned,creaturesDestroyed,baseDamage,healing,laneMoves
match-dfae0f76-0,forschung_muskelkraft,standard,0,1,1,10,1,19,11,38,13,9,9,15,0,0
match-dfae0f76-0,rudeljaeger,standard,1,0,0,10,-5,14,13,33,14,11,4,9,0,1
match-58fb6034-1,forschung_muskelkraft,standard,0,0,1,4,-1,10,4,9,1,3,2,0,0,0
match-58fb6034-1,rudeljaeger,standard,1,1,0,4,10,9,6,10,0,5,1,11,0,0
match-d248d0f1-2,forschung_muskelkraft,standard,0,0,1,5,0,11,2,9,6,2,2,0,0,0
match-d248d0f1-2,rudeljaeger,standard,1,1,0,5,10,9,4,10,4,4,0,10,0,0
match-4b9621af-3,forschung_muskelkraft,standard,0,1,1,9,1,16,9,38,4,9,7,12,0,0
match-4b9621af-3,rudeljaeger,standard,1,0,0,9,-2,13,12,30,8,10,5,9,0,0
match-c4e3926c-4,forschung_muskelkraft,standard,0,0,1,5,-1,14,5,14,1,4,1,2,0,0
match-c4e3926c-4,rudeljaeger,standard,1,1,0,5,8,9,5,12,1,5,1,11,0,0
match-3e30e32a-5,forschung_muskelkraft,standard,0,0,1,6,-2,16,5,19,2,5,5,2,0,0
match-3e30e32a-5,rudeljaeger,standard,1,1,0,6,8,12,8,20,1,8,2,12,0,0
match-b77e53e7-6,forschung_muskelkraft,standard,0,1,1,9,1,18,10,39,6,9,10,14,0,0
match-b77e53e7-6,rudeljaeger,standard,1,0,0,9,-4,15,13,29,8,11,5,9,0,0
match-30cba4a5-7,forschung_muskelkraft,standard,0,1,1,11,1,20,11,46,14,9,14,10,0,0
match-30cba4a5-7,rudeljaeger,standard,1,0,0,11,0,16,15,40,17,14,4,9,0,0
match-aa191562-8,forschung_muskelkraft,standard,0,1,1,8,2,16,11,33,2,9,8,10,0,0
match-aa191562-8,rudeljaeger,standard,1,0,0,8,0,12,11,23,7,9,5,8,0,0
match-23666620-9,forschung_muskelkraft,standard,0,1,1,12,5,21,15,59,13,13,15,12,0,0
match-23666620-9,rudeljaeger,standard,1,0,0,12,-2,16,15,41,26,15,9,5,0,1
match-9cb3d6dd-10,forschung_muskelkraft,standard,0,1,1,7,6,19,8,24,3,7,8,10,0,0
match-9cb3d6dd-10,rudeljaeger,standard,1,0,0,7,0,10,10,25,1,9,4,4,0,0
match-1601279b-11,forschung_muskelkraft,standard,0,1,1,14,4,23,15,59,36,13,14,11,0,0
match-1601279b-11,rudeljaeger,standard,1,0,0,14,-1,20,18,52,45,16,8,6,0,3
match-8f4e9858-12,forschung_muskelkraft,standard,0,1,1,7,1,14,8,24,2,6,6,10,0,0
match-8f4e9858-12,rudeljaeger,standard,1,0,0,7,0,12,10,25,1,10,2,9,0,0
match-089be916-13,forschung_muskelkraft,standard,0,0,1,4,0,10,0,0,6,0,2,0,0,0
match-089be916-13,rudeljaeger,standard,1,1,0,4,10,8,4,10,0,4,0,10,0,0
match-81e959d3-14,forschung_muskelkraft,standard,0,0,1,14,-1,21,20,75,16,18,12,6,0,0
match-81e959d3-14,rudeljaeger,standard,1,1,0,14,4,20,17,50,43,15,15,11,0,2
match-fb36aa90-15,forschung_muskelkraft,standard,0,1,1,11,1,21,13,49,11,11,12,15,0,0
match-fb36aa90-15,rudeljaeger,standard,1,0,0,11,-5,14,14,38,19,12,6,9,0,0
match-4ad8039f-16,forschung_muskelkraft,standard,0,0,1,9,0,20,12,40,4,10,8,7,0,0
match-4ad8039f-16,rudeljaeger,standard,1,1,0,9,3,12,12,35,2,11,7,10,0,1
match-c425745c-17,forschung_muskelkraft,standard,0,1,1,12,5,23,15,58,14,13,14,12,0,0
match-c425745c-17,rudeljaeger,standard,1,0,0,12,-2,18,16,48,20,14,9,5,0,1
match-3d72c51a-18,forschung_muskelkraft,standard,0,1,1,9,1,15,10,38,2,9,8,13,0,0
match-3d72c51a-18,rudeljaeger,standard,1,0,0,9,-3,13,12,33,8,10,5,9,0,0
