matchId,deckId,botType,side,round,targetsAffected,attackRemoved,healthRemoved,boardValueBefore,boardValueAfter,boardValueRemoved,won,winWithinOneRound,winWithinTwoRounds
match-dfae0f76-0,forschung_muskelkraft,standard,0,10,2,7,4,13,10,3,true,true,true
match-4b9621af-3,rudeljaeger,standard,1,8,2,6,6,14,6,8,false,false,false
match-4b9621af-3,forschung_muskelkraft,standard,0,8,4,12,8,24,17,7,true,true,true
match-3e30e32a-5,forschung_muskelkraft,standard,0,6,3,14,10,27,15,12,false,false,false
match-b77e53e7-6,forschung_muskelkraft,standard,0,6,3,9,6,18,13,5,true,false,false
match-30cba4a5-7,rudeljaeger,standard,1,6,2,6,10,18,10,8,false,false,false
match-30cba4a5-7,forschung_muskelkraft,standard,0,8,5,14,11,30,20,10,true,false,false
match-23666620-9,rudeljaeger,standard,1,10,3,8,10,21,11,10,false,false,false
match-23666620-9,forschung_muskelkraft,standard,0,12,3,6,4,13,9,4,true,true,true
match-1601279b-11,forschung_muskelkraft,standard,0,12,4,11,10,25,17,8,true,false,true
match-1601279b-11,rudeljaeger,standard,1,14,4,18,18,40,20,20,false,false,false
match-81e959d3-14,forschung_muskelkraft,standard,0,6,4,14,10,28,18,10,false,false,false
match-81e959d3-14,rudeljaeger,standard,1,7,4,14,18,36,20,16,true,false,false
match-fb36aa90-15,forschung_muskelkraft,standard,0,6,4,14,10,28,18,10,true,false,false
match-fb36aa90-15,rudeljaeger,standard,1,8,5,21,21,47,25,22,false,false,false
match-4ad8039f-16,rudeljaeger,standard,1,6,3,11,14,28,15,13,true,false,false
match-c425745c-17,rudeljaeger,standard,1,6,3,11,11,25,15,10,false,false,false
match-c425745c-17,forschung_muskelkraft,standard,0,8,5,16,13,34,22,12,true,false,false
match-3d72c51a-18,rudeljaeger,standard,1,6,2,7,8,17,10,7,false,false,false
match-3d72c51a-18,forschung_muskelkraft,standard,0,6,4,12,9,25,18,7,true,false,false
match-b6c035d7-19,forschung_muskelkraft,standard,0,7,2,4,4,10,6,4,true,true,true
match-300d8695-20,forschung_muskelkraft,standard,0,9,1,4,4,9,5,4,true,false,true
match-300d8695-20,rudeljaeger,standard,1,9,5,24,30,59,25,34,false,false,false
match-a95af752-21,forschung_muskelkraft,standard,0,6,3,9,8,20,11,9,false,false,false
match-9bf5b8cd-23,forschung_muskelkraft,standard,0,6,2,7,6,15,10,5,true,false,false
match-9bf5b8cd-23,rudeljaeger,standard,1,11,4,19,22,45,20,25,false,false,false
match-1543098b-24,rudeljaeger,standard,1,8,3,13,13,29,14,15,false,false,false
match-1543098b-24,forschung_muskelkraft,standard,0,9,4,13,10,27,19,8,true,false,true
match-812b3bc3-27,rudeljaeger,standard,1,6,4,13,15,32,19,13,false,false,false
match-812b3bc3-27,forschung_muskelkraft,standard,0,8,3,13,10,26,15,11,true,false,false
match-ed134dfb-30,forschung_muskelkraft,standard,0,6,3,12,8,23,15,8,false,false,false
match-6660beb9-31,forschung_muskelkraft,standard,0,6,4,9,6,19,12,7,true,false,false
match-6660beb9-31,rudeljaeger,standard,1,10,4,5,6,15,8,7,false,false,false
match-095a0726-32,rudeljaeger,standard,1,6,2,7,13,22,10,12,false,false,false
match-095a0726-32,forschung_muskelkraft,standard,0,9,3,7,6,16,11,5,true,true,true
match-82a777e3-33,forschung_muskelkraft,standard,0,6,4,13,10,27,20,7,false,false,false
match-fbf4c8a0-34,rudeljaeger,standard,1,6,3,12,12,27,15,12,false,false,false
match-fbf4c8a0-34,forschung_muskelkraft,standard,0,8,5,13,6,24,17,7,true,true,true
match-7542395e-35,rudeljaeger,standard,1,6,1,5,6,12,5,7,false,false,false
match-ee8f8a1b-36,forschung_muskelkraft,standard,0,7,3,13,10,26,15,11,false,false,false
match-ee8f8a1b-36,rudeljaeger,standard,1,7,2,8,9,19,10,9,true,true,true
match-e12a4b96-38,rudeljaeger,standard,1,6,4,11,14,29,19,10,false,false,false
match-e12a4b96-38,forschung_muskelkraft,standard,0,8,4,11,11,26,16,10,true,false,false
match-5a77bc54-39,forschung_muskelkraft,standard,0,6,3,4,4,11,7,4,false,false,false
match-d3c50d11-40,forschung_muskelkraft,standard,0,6,5,9,8,22,17,5,false,false,false
match-3fad3f4a-43,rudeljaeger,standard,1,6,1,5,6,12,5,7,false,false,false
match-3fad3f4a-43,forschung_muskelkraft,standard,0,8,5,11,9,25,21,4,true,true,true
match-b8fa9007-44,forschung_muskelkraft,standard,0,6,5,13,10,28,17,11,true,false,false
match-b8fa9007-44,rudeljaeger,standard,1,9,5,21,22,48,24,24,false,false,false
match-ab955182-46,rudeljaeger,standard,1,8,4,18,22,44,20,24,true,false,false
match-ab955182-46,forschung_muskelkraft,standard,0,10,4,12,11,27,16,11,false,false,false
match-24e2a240-47,forschung_muskelkraft,standard,0,6,3,11,10,24,15,9,true,false,false
match-24e2a240-47,rudeljaeger,standard,1,10,5,5,5,15,9,6,false,false,false
match-edd16c0b-49,forschung_muskelkraft,standard,0,6,4,7,5,16,11,5,true,true,true
match-d306ef01-53,forschung_muskelkraft,standard,0,6,3,12,12,27,15,12,true,false,false
match-c5a1b07c-55,rudeljaeger,standard,1,6,2,7,8,17,10,7,false,false,false
match-c5a1b07c-55,forschung_muskelkraft,standard,0,8,5,8,6,19,13,6,true,false,true
match-3eef013a-56,rudeljaeger,standard,1,6,3,12,18,33,15,18,false,false,false
match-3189c2b5-58,forschung_muskelkraft,standard,0,6,3,11,8,22,13,9,false,false,false
match-aad73372-59,rudeljaeger,standard,1,7,3,15,16,34,15,19,true,true,true
match-9d71f4ed-61,rudeljaeger,standard,1,6,3,11,14,28,15,13,false,false,false
match-900cb668-63,rudeljaeger,standard,1,7,4,19,24,47,20,27,false,false,false
match-900cb668-63,forschung_muskelkraft,standard,0,11,3,8,8,19,15,4,true,true,true
match-05a370d6-65,rudeljaeger,standard,1,6,2,9,10,21,10,11,true,true,true
match-7ef0c193-66,forschung_muskelkraft,standard,0,6,4,8,8,20,12,8,false,false,false
match-7ef0c193-66,rudeljaeger,standard,1,7,5,18,24,47,25,22,true,true,true
match-f83e3250-67,forschung_muskelkraft,standard,0,8,4,6,6,16,12,4,true,true,true
match-dd73b546-71,rudeljaeger,standard,1,7,4,18,20,42,20,22,false,false,false
match-dd73b546-71,forschung_muskelkraft,standard,0,8,3,10,9,22,15,7,false,false,false
match-56c10604-72,rudeljaeger,standard,1,10,3,3,4,10,7,3,false,false,false
match-56c10604-72,forschung_muskelkraft,standard,0,10,4,11,9,24,18,6,true,true,true
match-d00e76c1-73,forschung_muskelkraft,standard,0,6,5,8,6,19,13,6,true,false,false
match-d00e76c1-73,rudeljaeger,standard,1,7,3,13,15,31,15,16,false,false,false
match-3bf688fa-76,forschung_muskelkraft,standard,0,6,4,8,4,16,10,6,true,false,false
match-a7debb32-79,forschung_muskelkraft,standard,0,7,3,4,4,11,7,4,true,false,true
match-ea1ad5bb-82,forschung_muskelkraft,standard,0,6,2,11,8,21,10,11,false,false,false
match-ea1ad5bb-82,rudeljaeger,standard,1,7,4,17,20,41,20,21,true,false,true
match-63682679-83,rudeljaeger,standard,1,6,3,8,7,18,14,4,false,false,false
match-5602e7f4-85,rudeljaeger,standard,1,6,2,9,10,21,10,11,false,false,false
match-5602e7f4-85,forschung_muskelkraft,standard,0,6,5,7,7,19,13,6,true,false,false
match-cf5058b1-86,forschung_muskelkraft,standard,0,10,4,12,10,26,20,6,true,false,false
match-c1eb1a2c-88,forschung_muskelkraft,standard,0,6,3,9,8,20,11,9,false,false,false
match-3b386aea-89,forschung_muskelkraft,standard,0,6,3,9,8,20,11,9,true,false,true
match-2dd32c65-91,forschung_muskelkraft,standard,0,6,3,11,7,21,14,7,false,false,false
match-a7209d22-92,forschung_muskelkraft,standard,0,6,3,13,10,26,15,11,false,false,false
match-206dede0-93,forschung_muskelkraft,standard,0,6,3,8,6,17,11,6,true,true,true
match-99bb5e9d-94,forschung_muskelkraft,standard,0,7,3,3,2,8,7,1,false,false,false
match-99bb5e9d-94,rudeljaeger,standard,1,7,4,18,20,42,20,22,true,false,false
match-1308af5b-95,rudeljaeger,standard,1,6,2,7,8,17,10,7,false,false,false
match-1308af5b-95,forschung_muskelkraft,standard,0,8,4,6,4,14,12,2,true,false,false
match-2f4f6885-97,rudeljaeger,standard,1,9,5,24,32,61,25,36,false,false,false
match-978e3fdc-100,forschung_muskelkraft,standard,0,6,2,7,6,15,10,5,true,false,false
match-978e3fdc-100,rudeljaeger,standard,1,6,3,11,11,25,15,10,false,false,false
match-a4f37e61-102,rudeljaeger,standard,1,6,5,21,22,48,25,23,false,false,false
