cardId,deckId,botType,inDeck,startHand,drawn,played,notPlayed,endHand,playRate,winRateInDeck,winRateDrawn,winRatePlayed,averagePlayRound,creatureDamage,baseDamage,healing,kills,attackGranted,healthGranted,attackRemoved,healthRemoved,buffCreatureDamage,buffBaseDamage,tokensGenerated,movesGenerated
erstsemester,forschung_muskelkraft,standard,1200,224,893,706,187,187,0.7905935050391937,0.4716666666666667,0.4897196261682243,0.4884210526315789,4.356940509915014,2259,400,0,409,0,0,0,0,0,0,0,0
koffein_junkie,forschung_muskelkraft,standard,1200,242,943,484,459,459,0.513255567338282,0.4716666666666667,0.49016100178890876,0.5091383812010444,5.24793388429752,2196,584,0,362,0,0,0,0,0,0,0,0
schildwall,forschung_muskelkraft,standard,1200,235,954,878,76,76,0.9203354297693921,0.4716666666666667,0.47950089126559714,0.49906191369606,6.143507972665148,0,0,0,0,0,2634,0,0,0,0,0,0
mobilmachung,forschung_muskelkraft,standard,600,124,477,292,185,185,0.6121593291404612,0.4716666666666667,0.49056603773584906,0.4383561643835616,5.089041095890411,0,0,0,0,0,0,0,0,0,0,552,0
die_fakultaet,forschung_muskelkraft,standard,600,139,388,362,26,26,0.9329896907216495,0.4716666666666667,0.5463917525773195,0.5497237569060773,6.806629834254144,2097,291,0,322,0,0,0,0,0,0,0,0
kranfuehrer,forschung_muskelkraft,standard,1200,222,884,446,438,438,0.504524886877828,0.4716666666666667,0.4915572232645403,0.5080906148867314,8.605381165919283,1556,743,0,253,0,0,0,0,0,0,0,0
ritter,forschung_muskelkraft,standard,1200,280,872,663,209,209,0.7603211009174312,0.4716666666666667,0.48428835489833644,0.5067264573991032,6.906485671191554,3610,398,0,647,0,0,0,0,0,0,0,0
stahlgiesser,forschung_muskelkraft,standard,1200,233,860,708,152,152,0.8232558139534883,0.4716666666666667,0.4839319470699433,0.5211581291759465,8.076271186440678,5210,607,0,674,0,0,0,0,0,0,0,0
pfandsammler,forschung_muskelkraft,standard,600,119,469,239,230,230,0.509594882729211,0.4716666666666667,0.5053304904051172,0.5146443514644351,4.811715481171548,1045,169,0,164,0,0,0,0,0,0,0,0
bibliothekar,forschung_muskelkraft,standard,600,125,440,267,173,173,0.6068181818181818,0.4716666666666667,0.5136363636363637,0.550561797752809,7.700374531835206,609,90,0,131,0,0,0,0,0,0,0,0
