deckA,deckB,botA,botB,startingPlayer,games,winsA,winsB,draws,winRateA,averageRounds,averageRemainingBaseHealth
forschung_muskelkraft,rudeljaeger,standard,standard,0,100,49,50,1,0.494949494949495,8.29,4.84
forschung_muskelkraft,rudeljaeger,standard,standard,1,100,56,43,1,0.5656565656565656,9.53,4.36
forschung_muskelkraft,solidaritaet_ueberleben,standard,standard,0,100,52,45,3,0.5360824742268041,11.25,4.13
forschung_muskelkraft,solidaritaet_ueberleben,standard,standard,1,100,49,49,2,0.5,11.16,4.78
forschung_muskelkraft,urzeitliche_kolosse,standard,standard,0,100,35,63,2,0.35714285714285715,8.54,4.04
forschung_muskelkraft,urzeitliche_kolosse,standard,standard,1,100,42,58,0,0.42,9.05,4.29
rudeljaeger,solidaritaet_ueberleben,standard,standard,0,100,46,54,0,0.46,10.3,4.42
rudeljaeger,solidaritaet_ueberleben,standard,standard,1,100,41,59,0,0.41,9.03,4.9
rudeljaeger,urzeitliche_kolosse,standard,standard,0,100,63,36,1,0.6363636363636364,7.54,3.78
rudeljaeger,urzeitliche_kolosse,standard,standard,1,100,56,44,0,0.56,7.61,4.14
solidaritaet_ueberleben,urzeitliche_kolosse,standard,standard,0,100,52,47,1,0.5252525252525253,9.31,4.02
solidaritaet_ueberleben,urzeitliche_kolosse,standard,standard,1,100,39,59,2,0.3979591836734694,9.88,4.68
