matchId,deckId,botType,side,winner,startingPlayer,roundsPlayed,baseHealth,cardsDrawn,cardsPlayed,energySpent,energyUnused,creaturesSummoned,creaturesDestroyed,baseDamage,healing,laneMoves
match-e0863675-0,forschung_muskelkraft,standard,0,0,1,8,-1,16,10,34,1,8,5,6,0,0
match-e0863675-0,rudeljaeger,standard,1,1,0,8,4,11,10,28,3,9,4,11,0,0
match-6738c5b8-1,forschung_muskelkraft,standard,0,1,1,6,1,12,5,18,2,5,3,10,0,0
match-6738c5b8-1,rudeljaeger,standard,1,0,0,6,0,10,6,20,1,5,2,9,0,1
match-edeb74fa-2,forschung_muskelkraft,standard,0,0,1,8,-1,15,9,34,2,8,3,6,0,0
match-edeb74fa-2,rudeljaeger,standard,1,1,0,8,4,11,10,24,4,8,8,11,0,0
match-749e043d-3,forschung_muskelkraft,standard,0,0,1,7,-2,14,7,27,1,6,6,0,0,0
match-749e043d-3,rudeljaeger,standard,1,1,0,7,10,11,9,24,4,9,5,12,0,0
match-c5bbb96b-4,forschung_muskelkraft,standard,0,1,1,12,5,19,11,45,21,9,13,16,0,0
match-c5bbb96b-4,rudeljaeger,standard,1,0,0,12,-6,19,16,43,28,14,4,5,0,0
match-4c6e48ae-5,forschung_muskelkraft,standard,0,0,1,5,-1,11,5,14,1,4,5,3,0,0
match-4c6e48ae-5,rudeljaeger,standard,1,1,0,5,7,9,6,15,0,6,1,11,0,0
match-d320f7f0-6,forschung_muskelkraft,standard,0,0,1,5,-1,13,4,13,2,4,3,0,0,0
match-d320f7f0-6,rudeljaeger,standard,1,1,0,5,10,9,6,14,1,6,1,11,0,0
match-59d38733-7,forschung_muskelkraft,standard,0,1,1,12,3,21,14,56,14,12,13,11,0,0
match-59d38733-7,rudeljaeger,standard,1,0,0,12,-1,17,16,42,28,14,10,7,0,2
match-aaf13c61-8,forschung_muskelkraft,standard,0,0,1,6,-1,11,7,19,1,5,4,7,0,0
match-aaf13c61-8,rudeljaeger,standard,1,1,0,6,3,12,7,21,0,7,1,11,0,0
match-31a3cba4-9,forschung_muskelkraft,standard,0,0,1,3,0,8,1,3,3,0,0,0,0,0
match-31a3cba4-9,rudeljaeger,standard,1,1,0,3,10,8,3,6,0,3,1,10,0,0
match-b8567ae6-10,forschung_muskelkraft,standard,0,1,1,14,4,22,16,63,32,13,16,10,0,0
match-b8567ae6-10,rudeljaeger,standard,1,0,0,14,0,19,18,52,40,18,10,6,0,1
match-3f090a29-11,forschung_muskelkraft,standard,0,1,1,14,1,21,15,61,30,12,14,10,0,0
match-3f090a29-11,rudeljaeger,standard,1,0,0,14,0,19,17,47,45,15,9,9,0,1
match-9026bf57-12,forschung_muskelkraft,standard,0,0,1,5,-2,10,4,12,3,3,3,2,0,0
match-9026bf57-12,rudeljaeger,standard,1,1,0,5,8,10,5,12,2,5,0,12,0,0
match-16d94e9a-13,forschung_muskelkraft,standard,0,0,1,6,-1,11,6,20,1,5,6,7,0,0
match-16d94e9a-13,rudeljaeger,standard,1,1,0,6,3,10,7,15,2,7,1,11,0,0
match-9d8bfddc-14,forschung_muskelkraft,standard,0,1,1,9,6,19,10,37,4,9,11,11,0,0
match-9d8bfddc-14,rudeljaeger,standard,1,0,0,9,-1,13,13,33,9,11,4,4,0,0
match-243e8d1f-15,forschung_muskelkraft,standard,0,1,1,13,4,22,16,60,22,14,14,16,0,0
match-243e8d1f-15,rudeljaeger,standard,1,0,0,13,-6,19,17,51,29,15,10,6,0,1
match-4bb02a9e-16,forschung_muskelkraft,standard,0,0,1,6,0,13,5,19,2,5,4,3,0,0
match-4bb02a9e-16,rudeljaeger,standard,1,1,0,6,7,10,9,18,1,7,3,10,0,0
match-d262d9e0-17,forschung_muskelkraft,standard,0,1,1,12,4,21,16,61,9,13,9,10,0,0
match-d262d9e0-17,rudeljaeger,standard,1,0,0,12,0,18,15,43,28,13,11,6,0,2
match-59156923-18,forschung_muskelkraft,standard,0,1,1,7,1,15,8,26,1,6,8,10,0,0
match-59156923-18,rudeljaeger,standard,1,0,0,7,0,12,10,20,2,10,1,9,0,0
match-dfc81865-19,forschung_muskelkraft,standard,0,1,1,6,1,14,6,18,2,4,6,11,0,0
match-dfc81865-19,rudeljaeger,standard,1,0,0,6,-1,10,9,18,1,9,1,9,0,0
match-30e5ad94-20,forschung_muskelkraft,standard,0,0,1,5,-1,12,2,9,6,2,0,2,0,0
match-30e5ad94-20,rudeljaeger,standard,1,1,0,5,8,10,4,12,3,4,0,11,0,0
match-b7985cd6-21,forschung_muskelkraft,standard,0,1,1,8,4,16,9,31,3,7,7,10,0,0
match-b7985cd6-21,rudeljaeger,standard,1,0,0,8,0,12,11,28,2,9,4,6,0,1
match-3e4aec19-22,forschung_muskelkraft,standard,0,1,1,5,6,11,5,14,1,4,2,11,0,0
match-3e4aec19-22,rudeljaeger,standard,1,0,0,5,-1,10,5,12,2,5,1,4,0,0
