matchId,deckId,botType,side,round,targetsAffected,attackRemoved,healthRemoved,boardValueBefore,boardValueAfter,boardValueRemoved,won,winWithinOneRound,winWithinTwoRounds
match-e0863675-0,forschung_muskelkraft,standard,0,6,4,8,6,18,12,6,false,false,false
match-e0863675-0,rudeljaeger,standard,1,7,4,17,19,40,20,20,true,true,true
match-edeb74fa-2,forschung_muskelkraft,standard,0,6,3,9,6,18,15,3,false,false,false
match-c5bbb96b-4,rudeljaeger,standard,1,6,2,8,10,20,10,10,false,false,false
match-c5bbb96b-4,forschung_muskelkraft,standard,0,7,4,3,3,10,8,2,true,false,false
match-59d38733-7,rudeljaeger,standard,1,6,1,5,6,12,5,7,false,false,false
match-59d38733-7,forschung_muskelkraft,standard,0,6,5,15,13,33,25,8,true,false,false
match-aaf13c61-8,rudeljaeger,standard,1,6,3,11,16,30,15,15,true,true,true
match-b8567ae6-10,forschung_muskelkraft,standard,0,7,4,3,2,9,8,1,true,false,false
match-b8567ae6-10,rudeljaeger,standard,1,12,3,15,21,39,15,24,false,false,false
match-3f090a29-11,rudeljaeger,standard,1,6,3,10,11,24,14,10,false,false,false
match-3f090a29-11,forschung_muskelkraft,standard,0,6,4,7,7,18,12,6,true,false,false
match-16d94e9a-13,forschung_muskelkraft,standard,0,6,2,7,4,13,8,5,false,false,false
match-9d8bfddc-14,rudeljaeger,standard,1,6,2,6,7,15,10,5,false,false,false
match-243e8d1f-15,rudeljaeger,standard,1,9,5,22,25,52,25,27,false,false,false
match-243e8d1f-15,forschung_muskelkraft,standard,0,10,3,10,9,22,15,7,true,false,false
match-4bb02a9e-16,forschung_muskelkraft,standard,0,6,3,10,4,17,13,4,false,false,false
match-d262d9e0-17,rudeljaeger,standard,1,9,5,19,23,47,20,27,false,false,false
match-d262d9e0-17,forschung_muskelkraft,standard,0,10,4,11,7,22,18,4,true,false,true
match-c4fd9b5b-23,rudeljaeger,standard,1,7,4,11,11,26,12,14,false,false,false
match-c4fd9b5b-23,forschung_muskelkraft,standard,0,12,5,12,10,27,21,6,true,false,false
match-23806f0f-26,rudeljaeger,standard,1,6,3,10,12,25,15,10,false,false,false
match-fb50b37f-28,rudeljaeger,standard,1,6,1,5,5,11,5,6,true,true,true
match-820342c2-29,rudeljaeger,standard,1,6,2,9,10,21,10,11,false,false,false
match-820342c2-29,forschung_muskelkraft,standard,0,6,5,7,7,19,13,6,true,false,false
match-8f688147-31,rudeljaeger,standard,1,6,2,8,8,18,10,8,false,false,false
match-0a322e25-32,forschung_muskelkraft,standard,0,6,5,9,8,22,13,9,true,false,false
match-0a322e25-32,rudeljaeger,standard,1,8,3,14,18,35,15,20,false,false,false
match-90e4dd67-33,rudeljaeger,standard,1,6,2,7,9,18,10,8,false,false,false
match-90e4dd67-33,forschung_muskelkraft,standard,0,9,3,9,7,19,14,5,true,false,false
match-761a405d-37,forschung_muskelkraft,standard,0,7,3,10,8,21,15,6,false,false,false
match-d49d3410-40,rudeljaeger,standard,1,6,1,3,5,9,5,4,false,false,false
