cardId,deckId,botType,inDeck,startHand,drawn,played,notPlayed,endHand,playRate,winRateInDeck,winRateDrawn,winRatePlayed,averagePlayRound,creatureDamage,baseDamage,healing,kills,attackGranted,healthGranted,attackRemoved,healthRemoved,buffCreatureDamage,buffBaseDamage,tokensGenerated,movesGenerated
erstsemester,forschung_muskelkraft__ohne_pc,control,1200,229,899,686,213,213,0.7630700778642937,0.4633333333333333,0.47540983606557374,0.469601677148847,3.883381924198251,2424,447,0,403,0,0,0,0,0,0,0,0
koffein_junkie,forschung_muskelkraft__ohne_pc,control,1200,241,944,450,494,494,0.4766949152542373,0.4633333333333333,0.4706927175843694,0.48641304347826086,4.388888888888889,2197,611,0,338,0,0,0,0,0,0,0,0
schildwall,forschung_muskelkraft__ohne_pc,control,1200,245,950,856,94,94,0.9010526315789473,0.4633333333333333,0.47038327526132406,0.49168207024029575,5.30607476635514,0,0,0,0,0,2568,0,0,0,0,0,0
die_fakultaet,forschung_muskelkraft__ohne_pc,control,1200,240,782,693,89,89,0.8861892583120204,0.4633333333333333,0.4887525562372188,0.5076923076923077,6.581529581529582,4269,689,0,611,0,0,0,0,0,0,0,0
kranfuehrer,forschung_muskelkraft__ohne_pc,control,1200,237,860,253,607,607,0.2941860465116279,0.4633333333333333,0.476280834914611,0.4472361809045226,7.288537549407114,1014,507,0,164,0,0,0,0,0,0,0,0
ritter,forschung_muskelkraft__ohne_pc,control,1200,248,866,510,356,356,0.5889145496535797,0.4633333333333333,0.48598130841121495,0.5025252525252525,6.086274509803921,2710,508,0,461,0,0,0,0,0,0,0,0
stahlgiesser,forschung_muskelkraft__ohne_pc,control,1200,233,869,570,299,299,0.6559263521288837,0.4633333333333333,0.4785046728971963,0.5352480417754569,7.712280701754386,3970,468,0,486,0,0,0,0,0,0,0,0
pfandsammler,forschung_muskelkraft__ohne_pc,control,1200,242,918,467,451,451,0.5087145969498911,0.4633333333333333,0.47755834829443444,0.4751958224543081,4.415417558886509,2120,389,0,329,0,0,0,0,0,0,0,0
bibliothekar,forschung_muskelkraft__ohne_pc,control,600,148,433,207,226,226,0.4780600461893764,0.4633333333333333,0.49884526558891457,0.4975845410628019,6.594202898550725,544,71,0,130,0,0,0,0,0,0,0,0
kommandantin,forschung_muskelkraft__ohne_pc,control,600,98,426,364,62,62,0.8544600938967136,0.4633333333333333,0.5234741784037559,0.5796703296703297,6.486263736263736,1029,183,0,212,0,0,0,0,0,0,0,0
alter_wissenschaftler,forschung_muskelkraft__ohne_pc,control,600,122,451,249,202,202,0.5521064301552107,0.4633333333333333,0.48337028824833705,0.5020080321285141,7.690763052208835,1138,127,0,260,0,0,0,0,0,0,0,0
randy_marsh,forschung_muskelkraft__ohne_pc,control,600,117,422,312,110,110,0.7393364928909952,0.4633333333333333,0.504739336492891,0.5288461538461539,7.323717948717949,1685,678,0,342,0,0,0,0,0,0,0,0
ratte,rudeljaeger__ohne_pc,control,1200,258,752,671,81,81,0.8922872340425532,0.4683333333333333,0.4518664047151277,0.42340425531914894,4.506706408345752,1309,980,0,263,0,0,0,0,0,0,0,0
streunerkatze,rudeljaeger__ohne_pc,control,1200,246,716,650,66,66,0.9078212290502793,0.4683333333333333,0.4335378323108384,0.4004424778761062,4.703076923076923,1321,935,0,276,0,0,0,0,0,0,0,0
getigerter,rudeljaeger__ohne_pc,control,1200,249,739,678,61,61,0.9174560216508796,0.4683333333333333,0.45436893203883494,0.4409937888198758,4.8053097345132745,1850,1153,0,341,0,0,0,0,0,0,0,0
baer,rudeljaeger__ohne_pc,control,1200,243,585,565,20,20,0.9658119658119658,0.4683333333333333,0.37697516930022573,0.3627906976744186,5.842477876106194,2179,198,0,319,0,0,0,0,0,0,0,0
wolf,rudeljaeger__ohne_pc,control,1200,217,670,591,79,79,0.8820895522388059,0.4683333333333333,0.4080338266384778,0.3568075117370892,5.33502538071066,1290,299,0,221,0,0,0,0,0,0,0,0
wilder_instinkt,rudeljaeger__ohne_pc,control,1200,233,735,606,129,129,0.8244897959183674,0.4683333333333333,0.4223968565815324,0.32367149758454106,6.577557755775578,0,0,0,0,1212,0,0,0,503,133,0,0
pferd,rudeljaeger__ohne_pc,control,1200,227,711,675,36,36,0.9493670886075949,0.4683333333333333,0.4493927125506073,0.43670886075949367,5.288888888888889,2282,669,0,410,0,0,0,0,0,0,0,0
katzenmutter,rudeljaeger__ohne_pc,control,1200,239,689,650,39,39,0.9433962264150944,0.4683333333333333,0.41358024691358025,0.39828693790149894,5.193846153846154,1036,144,0,158,0,0,0,0,0,0,0,0
luchs,rudeljaeger__ohne_pc,control,600,122,301,292,9,9,0.9700996677740864,0.4683333333333333,0.4219269102990033,0.4075342465753425,6.308219178082192,1331,377,0,227,0,0,0,0,0,0,0,0
alphawolf,rudeljaeger__ohne_pc,control,600,121,293,277,16,16,0.9453924914675768,0.4683333333333333,0.36177474402730375,0.33212996389891697,6.552346570397112,840,69,0,129,0,0,0,0,0,0,0,0
vogelmensch,rudeljaeger__ohne_pc,control,600,126,272,256,16,16,0.9411764705882353,0.4683333333333333,0.3786764705882353,0.35546875,6.69140625,867,62,0,138,0,0,0,0,0,0,0,0
junger_neffe,rudeljaeger__ohne_pc,control,600,119,346,270,76,76,0.7803468208092486,0.4683333333333333,0.3786127167630058,0.2777777777777778,6.62962962962963,635,61,0,112,0,0,0,0,0,0,0,0
erstsemester,forschung_muskelkraft__mit_pc,control,1200,216,927,655,272,272,0.7065803667745415,0.56,0.5850091407678245,0.583864118895966,3.5633587786259544,2754,463,0,537,0,0,0,0,0,0,0,0
koffein_junkie,forschung_muskelkraft__mit_pc,control,1200,238,985,505,480,480,0.5126903553299492,0.56,0.574430823117338,0.5961070559610706,4.241584158415842,2631,657,0,443,0,0,0,0,0,0,0,0
schildwall,forschung_muskelkraft__mit_pc,control,1200,236,983,903,80,80,0.9186164801627671,0.56,0.5759162303664922,0.5996309963099631,5.596899224806202,0,0,0,0,0,2709,0,0,0,0,0,0
die_fakultaet,forschung_muskelkraft__mit_pc,control,1200,237,845,757,88,88,0.8958579881656805,0.56,0.5772994129158513,0.6008403361344538,6.931307793923382,5100,817,0,792,0,0,0,0,0,0,0,0
kranfuehrer,forschung_muskelkraft__mit_pc,control,1200,274,913,208,705,705,0.22782037239868566,0.56,0.5767097966728281,0.6,6.783653846153846,1016,508,0,165,0,0,0,0,0,0,0,0
ritter,forschung_muskelkraft__mit_pc,control,1200,238,937,519,418,418,0.5538954108858057,0.56,0.572463768115942,0.5954773869346733,6.416184971098266,2963,491,0,508,0,0,0,0,0,0,0,0
stahlgiesser,forschung_muskelkraft__mit_pc,control,1200,263,936,596,340,340,0.6367521367521367,0.56,0.5801801801801801,0.6347150259067358,8.555369127516778,4137,483,0,498,0,0,0,0,0,0,0,0
pfandsammler,forschung_muskelkraft__mit_pc,control,600,118,482,241,241,241,0.5,0.56,0.6078838174273858,0.6182572614107884,4.161825726141079,1149,208,0,192,0,0,0,0,0,0,0,0
bibliothekar,forschung_muskelkraft__mit_pc,control,600,104,447,173,274,274,0.3870246085011186,0.56,0.5883668903803132,0.6069364161849711,7.011560693641618,450,115,0,107,0,0,0,0,0,0,0,0
kommandantin,forschung_muskelkraft__mit_pc,control,600,100,462,400,62,62,0.8658008658008658,0.56,0.6190476190476191,0.6725,6.975,1110,207,0,263,0,0,0,0,0,0,0,0
alter_wissenschaftler,forschung_muskelkraft__mit_pc,control,600,134,461,210,251,251,0.455531453362256,0.56,0.6052060737527115,0.6285714285714286,8.81904761904762,993,144,0,242,0,0,0,0,0,0,0,0
randy_marsh,forschung_muskelkraft__mit_pc,control,600,117,467,305,162,162,0.6531049250535332,0.56,0.6188436830835118,0.6524590163934426,7.832786885245902,1841,867,0,357,0,0,0,0,0,0,0,0
pc_principal,forschung_muskelkraft__mit_pc,control,600,125,451,385,66,66,0.8536585365853658,0.56,0.6297117516629712,0.6753246753246753,7.174025974025974,1382,222,0,318,0,0,2456,2696,0,0,0,0
ratte,rudeljaeger__mit_pc,control,1200,215,723,622,101,101,0.8603042876901799,0.5883333333333334,0.581532416502947,0.5587583148558758,4.609324758842444,1302,957,0,252,0,0,0,0,0,0,0,0
streunerkatze,rudeljaeger__mit_pc,control,1200,245,762,663,99,99,0.8700787401574803,0.5883333333333334,0.573076923076923,0.559322033898305,4.441930618401207,1326,1110,0,258,0,0,0,0,0,0,0,0
getigerter,rudeljaeger__mit_pc,control,1200,260,762,694,68,68,0.910761154855643,0.5883333333333334,0.5632183908045977,0.5551020408163265,5.037463976945245,1878,1136,0,342,0,0,0,0,0,0,0,0
baer,rudeljaeger__mit_pc,control,1200,246,571,540,31,31,0.9457092819614711,0.5883333333333334,0.5024271844660194,0.49122807017543857,6.340740740740741,2055,177,0,325,0,0,0,0,0,0,0,0
wolf,rudeljaeger__mit_pc,control,1200,215,690,619,71,71,0.8971014492753623,0.5883333333333334,0.5428571428571428,0.5148741418764302,5.169628432956381,1413,336,0,271,0,0,0,0,0,0,0,0
wilder_instinkt,rudeljaeger__mit_pc,control,1200,275,766,618,148,148,0.8067885117493473,0.5883333333333334,0.5653846153846154,0.491725768321513,6.576051779935275,0,0,0,0,1236,0,0,0,527,123,0,0
pferd,rudeljaeger__mit_pc,control,1200,249,752,713,39,39,0.9481382978723404,0.5883333333333334,0.5618860510805501,0.5548780487804879,5.155680224403927,2480,828,0,445,0,0,0,0,0,0,0,0
katzenmutter,rudeljaeger__mit_pc,control,600,112,354,325,29,29,0.9180790960451978,0.5883333333333334,0.5423728813559322,0.5138461538461538,5.270769230769231,521,56,0,106,0,0,0,0,0,0,0,0
luchs,rudeljaeger__mit_pc,control,600,122,309,293,16,16,0.948220064724919,0.5883333333333334,0.540453074433657,0.5290102389078498,6.378839590443686,1359,555,0,233,0,0,0,0,0,0,0,0
alphawolf,rudeljaeger__mit_pc,control,600,117,280,261,19,19,0.9321428571428572,0.5883333333333334,0.5285714285714286,0.5095785440613027,6.6130268199233715,989,124,0,168,0,0,0,0,0,0,0,0
vogelmensch,rudeljaeger__mit_pc,control,600,128,293,267,26,26,0.9112627986348123,0.5883333333333334,0.5255972696245734,0.4868913857677903,6.344569288389513,981,66,0,161,0,0,0,0,0,0,0,0
junger_neffe,rudeljaeger__mit_pc,control,600,110,333,255,78,78,0.7657657657657657,0.5883333333333334,0.5195195195195195,0.4470588235294118,6.254901960784314,637,77,0,148,0,0,0,0,0,0,0,0
pc_principal,rudeljaeger__mit_pc,control,600,106,287,254,33,33,0.8850174216027874,0.5883333333333334,0.5714285714285714,0.5393700787401575,6.980314960629921,1124,110,0,218,0,0,1896,2204,0,0,0,0
rekrut,solidaritaet_ueberleben__ohne_pc,control,1200,233,842,671,171,171,0.7969121140142518,0.39166666666666666,0.39338235294117646,0.3870967741935484,4.868852459016393,1033,621,0,180,0,0,0,0,0,0,0,0
schildwache,solidaritaet_ueberleben__ohne_pc,control,1200,214,802,740,62,62,0.9226932668329177,0.39166666666666666,0.3838771593090211,0.3719512195121951,5.306756756756757,953,262,0,290,0,0,0,0,0,0,0,0
der_alte_hund,solidaritaet_ueberleben__ohne_pc,control,600,122,420,352,68,68,0.8380952380952381,0.39166666666666666,0.38095238095238093,0.3664772727272727,5.636363636363637,732,131,0,196,0,0,0,0,0,0,0,0
streikposten,solidaritaet_ueberleben__ohne_pc,control,1200,244,820,692,128,128,0.8439024390243902,0.39166666666666666,0.3782771535580524,0.35607675906183367,6.039017341040463,805,223,0,171,0,0,0,0,0,0,0,0
feldscherin,solidaritaet_ueberleben__ohne_pc,control,600,130,422,263,159,159,0.6232227488151659,0.39166666666666666,0.36492890995260663,0.3041825095057034,7.718631178707224,234,29,85,70,0,0,0,0,0,0,0,0
schrottsammlerin,solidaritaet_ueberleben__ohne_pc,control,1200,236,810,716,94,94,0.8839506172839506,0.39166666666666666,0.3712121212121212,0.3615702479338843,6.054469273743017,2177,271,0,397,0,0,0,0,0,0,0,0
