deckA,deckB,botA,botB,startingPlayer,games,winsA,winsB,draws,winRateA,averageRounds,averageRemainingBaseHealth
forschung_muskelkraft__ohne_pc,rudeljaeger__ohne_pc,control,control,0,50,25,24,1,0.5102040816326531,7.1,5.22
forschung_muskelkraft__ohne_pc,rudeljaeger__ohne_pc,control,control,1,50,24,26,0,0.48,7.44,5.86
forschung_muskelkraft__mit_pc,rudeljaeger__mit_pc,control,control,0,50,28,22,0,0.56,8,4.3
forschung_muskelkraft__mit_pc,rudeljaeger__mit_pc,control,control,1,50,21,29,0,0.42,8.28,5.14
forschung_muskelkraft__mit_pc,rudeljaeger__ohne_pc,control,control,0,50,34,16,0,0.68,8.6,3.92
forschung_muskelkraft__mit_pc,rudeljaeger__ohne_pc,control,control,1,50,26,24,0,0.52,8.16,5.1
forschung_muskelkraft__ohne_pc,rudeljaeger__mit_pc,control,control,0,50,20,30,0,0.4,7.98,4.7
forschung_muskelkraft__ohne_pc,rudeljaeger__mit_pc,control,control,1,50,18,32,0,0.36,8.12,5.28
forschung_muskelkraft__ohne_pc,solidaritaet_ueberleben__ohne_pc,control,control,0,50,31,19,0,0.62,9.56,4.38
forschung_muskelkraft__ohne_pc,solidaritaet_ueberleben__ohne_pc,control,control,1,50,26,24,0,0.52,9.98,4.78
forschung_muskelkraft__mit_pc,solidaritaet_ueberleben__mit_pc,control,control,0,50,27,22,1,0.5510204081632653,11.16,4.94
forschung_muskelkraft__mit_pc,solidaritaet_ueberleben__mit_pc,control,control,1,50,31,17,2,0.6458333333333334,11.24,4.3
forschung_muskelkraft__mit_pc,solidaritaet_ueberleben__ohne_pc,control,control,0,50,38,11,1,0.7755102040816326,11.12,4.52
forschung_muskelkraft__mit_pc,solidaritaet_ueberleben__ohne_pc,control,control,1,50,31,18,1,0.6326530612244898,10.82,4.38
forschung_muskelkraft__ohne_pc,solidaritaet_ueberleben__mit_pc,control,control,0,50,24,26,0,0.48,10.7,4.76
forschung_muskelkraft__ohne_pc,solidaritaet_ueberleben__mit_pc,control,control,1,50,16,34,0,0.32,9.84,5.02
forschung_muskelkraft__ohne_pc,urzeitliche_kolosse__ohne_pc,control,control,0,50,25,25,0,0.5,7.82,3.78
forschung_muskelkraft__ohne_pc,urzeitliche_kolosse__ohne_pc,control,control,1,50,28,22,0,0.56,7.88,3.64
forschung_muskelkraft__mit_pc,urzeitliche_kolosse__mit_pc,control,control,0,50,19,31,0,0.38,8.64,4.26
forschung_muskelkraft__mit_pc,urzeitliche_kolosse__mit_pc,control,control,1,50,24,26,0,0.48,9.16,4.24
forschung_muskelkraft__mit_pc,urzeitliche_kolosse__ohne_pc,control,control,0,50,29,21,0,0.58,7.96,3.54
forschung_muskelkraft__mit_pc,urzeitliche_kolosse__ohne_pc,control,control,1,50,28,22,0,0.56,8.28,4.16
forschung_muskelkraft__ohne_pc,urzeitliche_kolosse__mit_pc,control,control,0,50,18,32,0,0.36,7.94,4.64
forschung_muskelkraft__ohne_pc,urzeitliche_kolosse__mit_pc,control,control,1,50,23,27,0,0.46,7.38,4.78
rudeljaeger__ohne_pc,solidaritaet_ueberleben__ohne_pc,control,control,0,50,20,30,0,0.4,9.04,3.92
rudeljaeger__ohne_pc,solidaritaet_ueberleben__ohne_pc,control,control,1,50,22,28,0,0.44,10.06,4.04
rudeljaeger__mit_pc,solidaritaet_ueberleben__mit_pc,control,control,0,50,28,22,0,0.56,9.34,4.42
rudeljaeger__mit_pc,solidaritaet_ueberleben__mit_pc,control,control,1,50,20,30,0,0.4,8.82,4.8
rudeljaeger__mit_pc,solidaritaet_ueberleben__ohne_pc,control,control,0,50,33,16,1,0.673469387755102,9.86,4.4
rudeljaeger__mit_pc,solidaritaet_ueberleben__ohne_pc,control,control,1,50,28,22,0,0.56,9.04,5.06
rudeljaeger__ohne_pc,solidaritaet_ueberleben__mit_pc,control,control,0,50,19,31,0,0.38,8.64,4.38
rudeljaeger__ohne_pc,solidaritaet_ueberleben__mit_pc,control,control,1,50,20,30,0,0.4,8.98,4.84
rudeljaeger__ohne_pc,urzeitliche_kolosse__ohne_pc,control,control,0,50,26,24,0,0.52,7.42,3.98
rudeljaeger__ohne_pc,urzeitliche_kolosse__ohne_pc,control,control,1,50,30,20,0,0.6,6.88,4.26
rudeljaeger__mit_pc,urzeitliche_kolosse__mit_pc,control,control,0,50,31,19,0,0.62,7.46,4.44
rudeljaeger__mit_pc,urzeitliche_kolosse__mit_pc,control,control,1,50,26,24,0,0.52,7.26,3.46
rudeljaeger__mit_pc,urzeitliche_kolosse__ohne_pc,control,control,0,50,38,12,0,0.76,7.18,4.02
rudeljaeger__mit_pc,urzeitliche_kolosse__ohne_pc,control,control,1,50,36,14,0,0.72,6.88,4.36
rudeljaeger__ohne_pc,urzeitliche_kolosse__mit_pc,control,control,0,50,31,19,0,0.62,7.26,4.38
rudeljaeger__ohne_pc,urzeitliche_kolosse__mit_pc,control,control,1,50,23,27,0,0.46,7.22,4
solidaritaet_ueberleben__ohne_pc,urzeitliche_kolosse__ohne_pc,control,control,0,50,20,30,0,0.4,8.52,4.66
solidaritaet_ueberleben__ohne_pc,urzeitliche_kolosse__ohne_pc,control,control,1,50,23,27,0,0.46,8.4,4.14
solidaritaet_ueberleben__mit_pc,urzeitliche_kolosse__mit_pc,control,control,0,50,14,36,0,0.28,9.26,4.6
solidaritaet_ueberleben__mit_pc,urzeitliche_kolosse__mit_pc,control,control,1,50,22,27,1,0.4489795918367347,9.52,4.82
solidaritaet_ueberleben__mit_pc,urzeitliche_kolosse__ohne_pc,control,control,0,50,21,29,0,0.42,9.3,4.62
solidaritaet_ueberleben__mit_pc,urzeitliche_kolosse__ohne_pc,control,control,1,50,20,29,1,0.40816326530612246,9.6,4.08
solidaritaet_ueberleben__ohne_pc,urzeitliche_kolosse__mit_pc,control,control,0,50,13,37,0,0.26,8.8,5.16
solidaritaet_ueberleben__ohne_pc,urzeitliche_kolosse__mit_pc,control,control,1,50,11,39,0,0.22,9.84,5.18
