matchId,deckId,botType,side,winner,startingPlayer,roundsPlayed,baseHealth,cardsDrawn,cardsPlayed,energySpent,energyUnused,creaturesSummoned,creaturesDestroyed,baseDamage,healing,laneMoves
pc-3839c9bd-0,forschung_muskelkraft__ohne_pc,control,0,0,1,5,0,12,5,14,1,4,5,4,0,0
pc-3839c9bd-0,rudeljaeger__ohne_pc,control,1,1,0,5,6,10,7,15,0,7,1,10,0,0
pc-b1873a7a-1,forschung_muskelkraft__ohne_pc,control,0,1,1,6,2,12,6,19,1,5,6,12,0,0
pc-b1873a7a-1,rudeljaeger__ohne_pc,control,1,0,0,6,-2,10,6,20,1,6,1,8,0,0
pc-459f0842-2,forschung_muskelkraft__ohne_pc,control,0,1,1,9,3,17,7,29,7,6,10,10,0,0
pc-459f0842-2,rudeljaeger__ohne_pc,control,1,0,0,9,0,13,13,32,6,11,1,7,0,0
pc-beec78ff-3,forschung_muskelkraft__ohne_pc,control,0,0,1,7,-3,16,7,25,2,6,5,5,0,0
pc-beec78ff-3,rudeljaeger__ohne_pc,control,1,1,0,7,5,11,9,25,3,8,3,13,0,0
pc-1d6f4cb3-4,forschung_muskelkraft__ohne_pc,control,0,1,1,11,4,19,16,58,6,14,11,10,0,0
pc-1d6f4cb3-4,rudeljaeger__ohne_pc,control,1,0,0,11,0,16,14,36,21,13,9,6,0,1
pc-96bcbd70-5,forschung_muskelkraft__ohne_pc,control,0,0,1,6,-1,16,7,20,1,5,7,6,0,0
pc-96bcbd70-5,rudeljaeger__ohne_pc,control,1,1,0,6,4,9,9,19,0,8,3,11,0,0
pc-2ad48b38-6,forschung_muskelkraft__ohne_pc,control,0,1,1,6,2,15,6,19,1,5,5,10,0,0
pc-2ad48b38-6,rudeljaeger__ohne_pc,control,1,0,0,6,0,9,7,20,0,7,2,8,0,0
pc-a421fbf5-7,forschung_muskelkraft__ohne_pc,control,0,0,1,5,0,12,4,13,2,4,3,0,0,0
pc-a421fbf5-7,rudeljaeger__ohne_pc,control,1,1,0,5,10,8,6,15,0,6,2,10,0,0
pc-6dcec3d1-8,forschung_muskelkraft__ohne_pc,control,0,1,1,10,2,21,11,45,5,10,11,10,0,0
pc-6dcec3d1-8,rudeljaeger__ohne_pc,control,1,0,0,10,0,15,13,35,12,11,5,8,0,1
pc-e71c348e-9,forschung_muskelkraft__ohne_pc,control,0,1,1,7,1,15,10,27,1,8,7,10,0,0
pc-e71c348e-9,rudeljaeger__ohne_pc,control,1,0,0,7,0,10,10,25,2,9,4,9,0,0
pc-7b340256-10,forschung_muskelkraft__ohne_pc,control,0,1,1,9,3,16,11,39,4,9,9,13,0,0
pc-7b340256-10,rudeljaeger__ohne_pc,control,1,0,0,9,-3,15,13,31,8,11,5,7,0,0
pc-f4817313-11,forschung_muskelkraft__ohne_pc,control,0,1,1,11,4,21,12,44,15,10,11,10,0,0
pc-f4817313-11,rudeljaeger__ohne_pc,control,1,0,0,11,0,15,14,36,21,12,5,6,0,1
pc-530446c7-12,forschung_muskelkraft__ohne_pc,control,0,0,1,6,-1,13,7,19,2,5,5,0,0,0
pc-530446c7-12,rudeljaeger__ohne_pc,control,1,1,0,6,10,9,9,17,1,8,3,11,0,0
pc-cc51b784-13,forschung_muskelkraft__ohne_pc,control,0,1,1,10,5,21,12,44,7,10,10,14,0,0
pc-cc51b784-13,rudeljaeger__ohne_pc,control,1,0,0,10,-4,16,13,37,17,11,5,5,0,0
pc-6069854c-14,forschung_muskelkraft__ohne_pc,control,0,0,1,6,0,13,6,19,1,5,5,5,0,0
pc-6069854c-14,rudeljaeger__ohne_pc,control,1,1,0,6,5,11,7,19,2,7,2,10,0,0
pc-d9b6f609-15,forschung_muskelkraft__ohne_pc,control,0,1,1,9,2,17,13,43,2,11,7,11,0,0
pc-d9b6f609-15,rudeljaeger__ohne_pc,control,1,0,0,9,-1,13,12,33,6,10,8,8,0,0
pc-cd0fd594-16,forschung_muskelkraft__ohne_pc,control,0,1,1,10,3,20,11,39,7,9,12,13,0,0
pc-cd0fd594-16,rudeljaeger__ohne_pc,control,1,0,0,10,-3,13,13,30,17,11,4,7,0,0
pc-465d2652-17,forschung_muskelkraft__ohne_pc,control,0,1,1,9,6,20,9,32,4,7,11,14,0,0
pc-465d2652-17,rudeljaeger__ohne_pc,control,1,0,0,9,-4,14,12,31,7,11,2,4,0,0
pc-da751419-18,forschung_muskelkraft__ohne_pc,control,0,0,1,5,0,12,4,12,3,3,4,7,0,0
pc-da751419-18,rudeljaeger__ohne_pc,control,1,1,0,5,3,10,5,12,1,5,1,10,0,0
pc-53c264d7-19,forschung_muskelkraft__ohne_pc,control,0,0,1,6,0,12,5,18,2,5,3,0,0,0
pc-53c264d7-19,rudeljaeger__ohne_pc,control,1,1,0,6,10,11,6,20,1,6,4,10,0,0
pc-b245588a-20,forschung_muskelkraft__ohne_pc,control,0,1,1,8,1,15,8,31,2,8,7,13,0,0
pc-b245588a-20,rudeljaeger__ohne_pc,control,1,0,0,8,-3,12,11,26,5,9,4,9,0,0
pc-2b92a948-21,forschung_muskelkraft__ohne_pc,control,0,0,1,6,0,18,6,19,1,5,2,0,0,0
pc-2b92a948-21,rudeljaeger__ohne_pc,control,1,1,0,6,10,9,7,20,1,7,3,10,0,0
pc-bfaa970f-22,forschung_muskelkraft__ohne_pc,control,0,0,1,5,0,14,4,13,2,4,0,1,0,0
pc-bfaa970f-22,rudeljaeger__ohne_pc,control,1,1,0,5,9,9,4,14,1,4,3,10,0,0
pc-38f7e7cd-23,forschung_muskelkraft__ohne_pc,control,0,0,1,4,-3,10,3,8,2,3,0,6,0,0
pc-38f7e7cd-23,rudeljaeger__ohne_pc,control,1,1,0,4,4,9,3,9,1,3,1,13,0,0
pc-02a4cfa9-24,forschung_muskelkraft__ohne_pc,control,0,1,1,6,6,15,7,20,1,5,3,11,0,0
pc-02a4cfa9-24,rudeljaeger__ohne_pc,control,1,0,0,6,-1,11,7,19,2,7,1,4,0,0
pc-7bf22066-25,forschung_muskelkraft__ohne_pc,control,0,1,1,10,4,19,11,38,7,10,11,18,0,0
pc-7bf22066-25,rudeljaeger__ohne_pc,control,1,0,0,10,-8,14,14,40,9,12,5,6,0,0
pc-100a0e2e-26,forschung_muskelkraft__ohne_pc,control,0,0,1,6,-3,14,6,19,1,5,3,0,0,0
pc-100a0e2e-26,rudeljaeger__ohne_pc,control,1,1,0,6,10,10,8,20,0,7,3,13,0,0
pc-89577eeb-27,forschung_muskelkraft__ohne_pc,control,0,1,1,8,4,15,9,30,2,7,11,13,0,0
pc-89577eeb-27,rudeljaeger__ohne_pc,control,1,0,0,8,-3,11,11,26,4,10,2,6,0,0
pc-e7da529e-28,forschung_muskelkraft__ohne_pc,control,0,0,1,6,-2,14,5,18,2,5,6,0,0,0
pc-e7da529e-28,rudeljaeger__ohne_pc,control,1,1,0,6,10,10,8,16,3,8,3,12,0,0
pc-6127a35c-29,forschung_muskelkraft__ohne_pc,control,0,1,1,8,6,18,7,24,4,6,11,10,0,0
pc-6127a35c-29,rudeljaeger__ohne_pc,control,1,0,0,8,0,12,11,30,3,10,1,4,0,1
pc-f53f9123-30,forschung_muskelkraft__ohne_pc,control,0,0,1,7,-1,14,7,25,3,6,7,0,0,0
pc-f53f9123-30,rudeljaeger__ohne_pc,control,1,1,0,7,10,12,9,22,3,8,2,11,0,0
pc-6e8ce1e1-31,forschung_muskelkraft__ohne_pc,control,0,0,1,5,-1,12,4,13,2,4,2,0,0,0
pc-6e8ce1e1-31,rudeljaeger__ohne_pc,control,1,1,0,5,10,9,5,12,1,5,3,11,0,0
pc-0e8dd20e-32,forschung_muskelkraft__ohne_pc,control,0,0,1,5,0,13,5,14,1,4,1,2,0,0
pc-0e8dd20e-32,rudeljaeger__ohne_pc,control,1,1,0,5,8,10,4,14,1,4,2,10,0,0
pc-87db22cb-33,forschung_muskelkraft__ohne_pc,control,0,0,1,5,-1,13,4,13,2,4,5,3,0,0
pc-87db22cb-33,rudeljaeger__ohne_pc,control,1,1,0,5,7,8,6,11,1,6,2,11,0,0
pc-1bf31093-34,forschung_muskelkraft__ohne_pc,control,0,1,1,5,4,11,5,14,1,4,5,10,0,0
pc-1bf31093-34,rudeljaeger__ohne_pc,control,1,0,0,5,0,9,6,12,2,6,1,6,0,0
pc-95406150-35,forschung_muskelkraft__ohne_pc,control,0,0,1,5,-1,15,4,13,2,4,0,0,0,0
pc-95406150-35,rudeljaeger__ohne_pc,control,1,1,0,5,10,9,6,14,0,5,2,11,0,0
pc-f3c35503-36,forschung_muskelkraft__ohne_pc,control,0,1,1,9,2,19,11,37,4,10,9,14,0,0
pc-f3c35503-36,rudeljaeger__ohne_pc,control,1,0,0,9,-4,13,12,29,8,10,5,8,0,0
pc-6d10a5c1-37,forschung_muskelkraft__ohne_pc,control,0,0,1,5,-4,10,5,11,4,3,2,6,0,0
pc-6d10a5c1-37,rudeljaeger__ohne_pc,control,1,1,0,5,4,10,5,14,1,5,0,14,0,0
pc-01289389-38,forschung_muskelkraft__ohne_pc,control,0,1,1,8,2,18,9,32,3,8,8,11,0,0
pc-01289389-38,rudeljaeger__ohne_pc,control,1,0,0,8,-1,13,11,30,3,10,4,8,0,1
pc-7a75e446-39,forschung_muskelkraft__ohne_pc,control,0,,1,15,0,21,16,61,52,14,18,9,0,0
pc-7a75e446-39,rudeljaeger__ohne_pc,control,1,,0,15,0,20,19,51,55,17,11,9,0,0
pc-4422cc22-40,forschung_muskelkraft__ohne_pc,control,0,0,1,7,0,15,7,25,2,6,8,7,0,0
pc-4422cc22-40,rudeljaeger__ohne_pc,control,1,1,0,7,3,12,8,23,0,8,3,10,0,0
pc-bd703cdf-41,forschung_muskelkraft__ohne_pc,control,0,0,1,6,-1,13,6,19,2,5,6,0,0,0
pc-bd703cdf-41,rudeljaeger__ohne_pc,control,1,1,0,6,10,10,9,19,0,8,2,11,0,0
pc-51880aa7-42,forschung_muskelkraft__ohne_pc,control,0,1,1,9,5,15,10,32,4,8,11,10,0,0
pc-51880aa7-42,rudeljaeger__ohne_pc,control,1,0,0,9,0,14,13,32,8,11,3,5,0,0
pc-cad57b64-43,forschung_muskelkraft__ohne_pc,control,0,0,1,6,0,15,6,19,2,5,2,0,0,0
pc-cad57b64-43,rudeljaeger__ohne_pc,control,1,1,0,6,10,9,6,17,3,6,3,10,0,0
pc-29584f18-44,forschung_muskelkraft__ohne_pc,control,0,0,1,5,-2,11,5,14,1,4,4,6,0,0
pc-29584f18-44,rudeljaeger__ohne_pc,control,1,1,0,5,4,9,4,13,2,4,0,12,0,0
pc-a2a5bfd5-45,forschung_muskelkraft__ohne_pc,control,0,1,1,6,4,10,6,19,1,5,4,10,0,0
pc-a2a5bfd5-45,rudeljaeger__ohne_pc,control,1,0,0,6,0,9,8,20,0,7,2,6,0,0
pc-36bd8d9d-46,forschung_muskelkraft__ohne_pc,control,0,1,1,6,3,12,8,20,1,6,5,12,0,0
pc-36bd8d9d-46,rudeljaeger__ohne_pc,control,1,0,0,6,-2,11,7,21,0,7,1,7,0,1
pc-b00afe5a-47,forschung_muskelkraft__ohne_pc,control,0,0,1,5,-1,14,5,14,1,4,3,3,0,0
pc-b00afe5a-47,rudeljaeger__ohne_pc,control,1,1,0,5,7,9,6,15,0,6,1,11,0,0
pc-a363dde5-48,forschung_muskelkraft__ohne_pc,control,0,1,1,7,3,16,8,26,2,7,8,14,0,0
pc-a363dde5-48,rudeljaeger__ohne_pc,control,1,0,0,7,-4,12,10,26,1,9,3,7,0,1
pc-1cb12ea3-49,forschung_muskelkraft__ohne_pc,control,0,1,1,9,1,17,9,32,8,7,10,11,0,0
pc-1cb12ea3-49,rudeljaeger__ohne_pc,control,1,0,0,9,-1,13,12,30,10,11,2,9,0,0
pc-76cc8965-50,forschung_muskelkraft__ohne_pc,control,0,1,0,9,2,20,10,33,3,8,10,13,0,0
pc-76cc8965-50,rudeljaeger__ohne_pc,control,1,0,1,9,-3,13,12,28,9,10,3,8,0,0
pc-f019fa22-51,forschung_muskelkraft__ohne_pc,control,0,0,0,8,-2,15,8,28,5,7,6,0,0,0
pc-f019fa22-51,rudeljaeger__ohne_pc,control,1,1,1,8,10,14,9,27,3,9,6,12,0,0
pc-69674ae0-52,forschung_muskelkraft__ohne_pc,control,0,1,0,10,3,21,14,48,7,12,12,11,0,0
pc-69674ae0-52,rudeljaeger__ohne_pc,control,1,0,1,10,-1,14,13,32,15,11,7,7,0,0
pc-e2b4bb9d-53,forschung_muskelkraft__ohne_pc,control,0,0,0,6,0,12,6,20,1,5,5,6,0,0
pc-e2b4bb9d-53,rudeljaeger__ohne_pc,control,1,1,1,6,4,11,7,20,1,7,2,10,0,0
pc-9197066f-54,forschung_muskelkraft__ohne_pc,control,0,0,0,7,0,17,8,25,2,6,5,4,0,0
pc-9197066f-54,rudeljaeger__ohne_pc,control,1,1,1,7,6,11,9,26,2,8,2,10,0,1
pc-0ae4772d-55,forschung_muskelkraft__ohne_pc,control,0,0,0,5,-1,12,6,14,1,5,4,0,0,0
pc-0ae4772d-55,rudeljaeger__ohne_pc,control,1,1,1,5,10,8,5,15,0,5,1,11,0,0
pc-8431c7ea-56,forschung_muskelkraft__ohne_pc,control,0,1,0,9,1,17,10,33,3,8,11,12,0,0
pc-8431c7ea-56,rudeljaeger__ohne_pc,control,1,0,1,9,-2,14,13,35,7,11,4,9,0,0
pc-fd7f38a7-57,forschung_muskelkraft__ohne_pc,control,0,0,0,5,0,12,3,11,4,3,4,0,0,0
pc-fd7f38a7-57,rudeljaeger__ohne_pc,control,1,1,1,5,10,9,5,13,1,5,1,10,0,0
pc-ac618379-58,forschung_muskelkraft__ohne_pc,control,0,1,0,11,4,21,11,42,18,9,15,16,0,0
pc-ac618379-58,rudeljaeger__ohne_pc,control,1,0,1,11,-6,16,15,39,17,13,5,6,0,2
pc-25aef437-59,forschung_muskelkraft__ohne_pc,control,0,0,0,4,-2,9,2,6,4,2,3,0,0,0
pc-25aef437-59,rudeljaeger__ohne_pc,control,1,1,1,4,10,7,4,10,0,4,1,12,0,0
pc-9efc44f4-60,forschung_muskelkraft__ohne_pc,control,0,0,0,5,-3,10,4,12,2,4,4,0,0,0
pc-9efc44f4-60,rudeljaeger__ohne_pc,control,1,1,1,5,10,8,6,13,1,6,3,13,0,0
pc-1849b5b2-61,forschung_muskelkraft__ohne_pc,control,0,0,0,3,-1,8,3,5,1,2,0,0,0,0
pc-1849b5b2-61,rudeljaeger__ohne_pc,control,1,1,1,3,10,7,3,5,1,3,1,11,0,0
pc-c72c0083-62,forschung_muskelkraft__ohne_pc,control,0,0,0,7,0,15,8,25,3,8,8,3,0,0
pc-c72c0083-62,rudeljaeger__ohne_pc,control,1,1,1,7,7,10,10,24,0,8,4,10,0,0
pc-40797141-63,forschung_muskelkraft__ohne_pc,control,0,0,0,7,-1,11,8,25,2,7,7,4,0,0
pc-40797141-63,rudeljaeger__ohne_pc,control,1,1,1,7,6,10,9,27,1,9,5,11,0,0
pc-b9c6c1fe-64,forschung_muskelkraft__ohne_pc,control,0,0,0,6,-1,13,6,19,1,5,4,4,0,0
pc-b9c6c1fe-64,rudeljaeger__ohne_pc,control,1,1,1,6,6,12,6,18,1,6,2,11,0,0
pc-331432bc-65,forschung_muskelkraft__ohne_pc,control,0,1,0,14,6,22,17,65,26,15,12,12,0,0
