matchId,deckId,botType,side,round,targetsAffected,attackRemoved,healthRemoved,boardValueBefore,boardValueAfter,boardValueRemoved,won,winWithinOneRound,winWithinTwoRounds
pc-48b4ee15-101,rudeljaeger__mit_pc,control,1,6,2,7,9,18,10,8,false,false,false
pc-48b4ee15-101,forschung_muskelkraft__mit_pc,control,0,10,5,16,14,35,25,10,true,false,false
pc-3b4faf90-103,rudeljaeger__mit_pc,control,1,6,2,8,10,20,10,10,false,false,false
pc-3b4faf90-103,forschung_muskelkraft__mit_pc,control,0,8,4,9,8,21,16,5,true,false,true
pc-ea321a61-104,rudeljaeger__mit_pc,control,1,10,3,0,0,3,3,0,false,false,false
pc-dcccdbdc-106,rudeljaeger__mit_pc,control,1,6,3,12,12,27,15,12,false,false,false
pc-561a2c9a-107,rudeljaeger__mit_pc,control,1,6,3,12,15,30,15,15,false,false,false
pc-561a2c9a-107,forschung_muskelkraft__mit_pc,control,0,10,4,12,10,26,18,8,true,false,true
pc-99d28343-108,forschung_muskelkraft__mit_pc,control,0,6,2,9,8,19,10,9,false,false,false
pc-05bab57c-111,rudeljaeger__mit_pc,control,1,6,4,14,10,28,18,10,true,false,false
pc-05bab57c-111,forschung_muskelkraft__mit_pc,control,0,6,2,5,5,12,10,2,false,false,false
pc-a737c1c8-114,forschung_muskelkraft__mit_pc,control,0,10,3,4,4,11,7,4,true,false,false
pc-a737c1c8-114,rudeljaeger__mit_pc,control,1,15,5,20,18,43,21,22,false,false,false
pc-20853286-115,forschung_muskelkraft__mit_pc,control,0,6,3,13,8,24,13,11,false,false,false
pc-1fc71476-128,rudeljaeger__mit_pc,control,1,6,3,11,14,28,15,13,false,false,false
pc-a5bb85a8-132,rudeljaeger__mit_pc,control,1,6,3,11,14,28,15,13,true,true,true
pc-1f08f666-133,rudeljaeger__mit_pc,control,1,6,2,8,8,18,10,8,true,false,true
pc-1f08f666-133,forschung_muskelkraft__mit_pc,control,0,6,4,14,13,31,20,11,false,false,false
pc-98564723-134,forschung_muskelkraft__mit_pc,control,0,7,5,6,6,17,13,4,true,false,false
pc-11a3b7e1-135,rudeljaeger__mit_pc,control,1,9,3,15,20,38,15,23,true,true,true
pc-11a3b7e1-135,forschung_muskelkraft__mit_pc,control,0,10,5,16,15,36,25,11,false,false,false
pc-39d37370-137,forschung_muskelkraft__mit_pc,control,0,8,2,9,8,19,10,9,true,false,true
pc-2c6e34eb-139,rudeljaeger__mit_pc,control,1,6,2,8,8,18,10,8,true,true,true
pc-043e795c-145,forschung_muskelkraft__mit_pc,control,0,6,4,11,8,23,18,5,true,false,false
pc-043e795c-145,rudeljaeger__mit_pc,control,1,9,4,11,12,27,12,15,false,false,false
pc-7d8bca19-146,rudeljaeger__mit_pc,control,1,6,3,10,12,25,15,10,false,false,false
pc-7d8bca19-146,forschung_muskelkraft__mit_pc,control,0,7,3,7,7,17,11,6,true,false,false
pc-10e599d1-148,rudeljaeger__mit_pc,control,1,6,3,9,12,24,15,9,true,true,true
pc-8a32ea8e-149,forschung_muskelkraft__mit_pc,control,0,6,2,9,8,19,10,9,true,true,true
pc-1b5f9b85-152,rudeljaeger__mit_pc,control,1,6,4,17,21,42,20,22,true,false,false
pc-1b5f9b85-152,forschung_muskelkraft__mit_pc,control,0,11,4,12,6,22,18,4,false,false,false
pc-94acec42-153,rudeljaeger__mit_pc,control,1,7,3,13,21,37,15,22,false,false,false
pc-28c4da0a-154,rudeljaeger__mit_pc,control,1,6,3,14,16,33,15,18,false,false,false
pc-28c4da0a-154,forschung_muskelkraft__mit_pc,control,0,12,1,4,4,9,5,4,true,true,true
pc-a2122ac7-155,rudeljaeger__mit_pc,control,1,6,4,17,19,40,20,20,false,false,false
pc-a2122ac7-155,forschung_muskelkraft__mit_pc,control,0,8,3,7,6,16,11,5,false,false,false
pc-af77694c-157,rudeljaeger__mit_pc,control,1,9,5,27,30,62,25,37,false,false,false
pc-e5ca8170-160,forschung_muskelkraft__mit_pc,control,0,6,3,4,4,11,7,4,true,false,false
pc-e5ca8170-160,rudeljaeger__mit_pc,control,1,7,4,13,14,31,20,11,false,false,false
pc-00951e7b-164,rudeljaeger__mit_pc,control,1,8,4,19,19,42,20,22,false,false,false
pc-79245128-166,rudeljaeger__mit_pc,control,1,6,3,13,14,30,15,15,false,false,false
pc-79245128-166,forschung_muskelkraft__mit_pc,control,0,7,2,6,5,13,10,3,true,false,false
pc-86898fad-168,forschung_muskelkraft__mit_pc,control,0,7,4,9,6,19,14,5,true,false,false
pc-86898fad-168,rudeljaeger__mit_pc,control,1,9,4,17,20,41,20,21,false,false,false
pc-ffd6e06a-169,forschung_muskelkraft__mit_pc,control,0,7,5,16,8,29,19,10,false,false,false
pc-0d3c3ef0-171,rudeljaeger__mit_pc,control,1,6,5,22,25,52,25,27,false,false,false
pc-0d3c3ef0-171,forschung_muskelkraft__mit_pc,control,0,11,4,8,6,18,14,4,true,false,true
pc-1aa17d75-173,forschung_muskelkraft__mit_pc,control,0,6,5,9,8,22,13,9,true,false,false
pc-438f5714-174,rudeljaeger__mit_pc,control,1,6,3,14,17,34,15,19,false,false,false
pc-438f5714-174,forschung_muskelkraft__mit_pc,control,0,8,3,9,9,21,15,6,true,false,false
pc-bcdca7d1-175,rudeljaeger__mit_pc,control,1,7,3,12,10,25,14,11,false,false,false
pc-bcdca7d1-175,forschung_muskelkraft__mit_pc,control,0,7,3,7,7,17,11,6,true,false,false
pc-ca41e656-177,forschung_muskelkraft__mit_pc,control,0,7,3,9,8,20,11,9,true,true,true
pc-5e59d41e-178,forschung_muskelkraft__mit_pc,control,0,6,3,4,2,9,8,1,true,false,false
pc-5e59d41e-178,rudeljaeger__mit_pc,control,1,6,5,17,20,42,25,17,false,false,false
pc-d7a724db-179,rudeljaeger__mit_pc,control,1,10,4,23,23,50,20,30,false,false,false
pc-6bbf12a3-180,forschung_muskelkraft__mit_pc,control,0,7,3,11,6,20,13,7,false,false,false
pc-e50c6360-181,rudeljaeger__mit_pc,control,1,6,3,14,17,34,15,19,false,false,false
pc-e50c6360-181,forschung_muskelkraft__mit_pc,control,0,9,5,15,14,34,21,13,true,false,true
pc-e44e4550-182,rudeljaeger__mit_pc,control,1,7,3,13,20,36,15,21,false,false,false
pc-e44e4550-182,forschung_muskelkraft__mit_pc,control,0,11,3,9,8,20,15,5,true,true,true
pc-5d9bb60e-183,forschung_muskelkraft__mit_pc,control,0,15,4,13,10,27,18,9,true,true,true
pc-78663318-187,rudeljaeger__mit_pc,control,1,7,3,12,17,32,15,17,false,false,false
pc-78663318-187,forschung_muskelkraft__mit_pc,control,0,7,4,7,7,18,12,6,true,false,false
pc-85cb719d-189,rudeljaeger__mit_pc,control,1,6,3,14,16,33,15,18,true,true,true
pc-aeb94b3c-190,rudeljaeger__mit_pc,control,1,6,3,14,16,33,15,18,true,false,true
pc-aeb94b3c-190,forschung_muskelkraft__mit_pc,control,0,8,3,4,4,11,7,4,false,false,false
pc-c983c846-194,rudeljaeger__mit_pc,control,1,9,5,27,34,66,25,41,false,false,false
pc-c983c846-194,forschung_muskelkraft__mit_pc,control,0,11,5,10,4,19,18,1,true,true,true
pc-d6e906cb-196,rudeljaeger__mit_pc,control,1,6,4,16,18,38,20,18,true,true,true
pc-50367789-197,rudeljaeger__mit_pc,control,1,8,4,20,23,47,20,27,false,false,false
pc-50367789-197,forschung_muskelkraft__mit_pc,control,0,11,3,12,8,23,15,8,true,true,true
pc-c8c5aa36-199,forschung_muskelkraft__mit_pc,control,0,9,5,10,8,23,17,6,false,false,false
pc-c8c5aa36-199,rudeljaeger__mit_pc,control,1,14,5,16,16,37,17,20,true,true,true
