deckId,lane,occupiedSnapshots,snapshots,occupancyRate
forschung_muskelkraft__ohne_pc,1,2349,5772,0.40696465696465695
forschung_muskelkraft__ohne_pc,2,2379,5772,0.41216216216216217
forschung_muskelkraft__ohne_pc,3,2389,5772,0.4138946638946639
forschung_muskelkraft__ohne_pc,4,2425,5772,0.42013167013167013
forschung_muskelkraft__ohne_pc,5,2510,5772,0.43485793485793484
rudeljaeger__ohne_pc,1,2257,5462,0.41321860124496523
rudeljaeger__ohne_pc,2,2178,5462,0.3987550347857928
rudeljaeger__ohne_pc,3,2248,5462,0.411570853167338
rudeljaeger__ohne_pc,4,2157,5462,0.3949102892713292
rudeljaeger__ohne_pc,5,2172,5462,0.3976565360673746
forschung_muskelkraft__mit_pc,1,2544,5971,0.42605928655166636
forschung_muskelkraft__mit_pc,2,2603,5971,0.4359403784960643
forschung_muskelkraft__mit_pc,3,2613,5971,0.43761513984257244
forschung_muskelkraft__mit_pc,4,2526,5971,0.42304471612795175
forschung_muskelkraft__mit_pc,5,2655,5971,0.4446491374979065
rudeljaeger__mit_pc,1,2223,5489,0.40499180178538896
rudeljaeger__mit_pc,2,2166,5489,0.39460739661140465
rudeljaeger__mit_pc,3,2235,5489,0.407177992348333
rudeljaeger__mit_pc,4,2246,5489,0.4091820003643651
rudeljaeger__mit_pc,5,2262,5489,0.41209692111495716
solidaritaet_ueberleben__ohne_pc,1,2912,6391,0.4556407447973713
solidaritaet_ueberleben__ohne_pc,2,2951,6391,0.46174307620090754
solidaritaet_ueberleben__ohne_pc,3,2987,6391,0.4673759974964794
solidaritaet_ueberleben__ohne_pc,4,2921,6391,0.4570489751212643
solidaritaet_ueberleben__ohne_pc,5,2756,6391,0.43123141918322644
solidaritaet_ueberleben__mit_pc,1,3118,6536,0.4770501835985312
solidaritaet_ueberleben__mit_pc,2,3073,6536,0.47016523867809057
solidaritaet_ueberleben__mit_pc,3,3011,6536,0.4606793145654835
solidaritaet_ueberleben__mit_pc,4,2989,6536,0.4573133414932681
solidaritaet_ueberleben__mit_pc,5,2922,6536,0.447062423500612
urzeitliche_kolosse__ohne_pc,1,1794,5327,0.33677492021775857
urzeitliche_kolosse__ohne_pc,2,1842,5327,0.3457856204242538
urzeitliche_kolosse__ohne_pc,3,1856,5327,0.3484137413178149
urzeitliche_kolosse__ohne_pc,4,1871,5327,0.35122958513234465
urzeitliche_kolosse__ohne_pc,5,2026,5327,0.38032663788248544
urzeitliche_kolosse__mit_pc,1,2147,5674,0.37839266831159674
urzeitliche_kolosse__mit_pc,2,2064,5674,0.3637645400070497
urzeitliche_kolosse__mit_pc,3,2078,5674,0.3662319351427564
urzeitliche_kolosse__mit_pc,4,2099,5674,0.36993302784631654
urzeitliche_kolosse__mit_pc,5,2112,5674,0.3722241804723299
