cardId,deckId,botType,inDeck,startHand,drawn,played,notPlayed,endHand,playRate,winRateInDeck,winRateDrawn,winRatePlayed,averagePlayRound,creatureDamage,baseDamage,healing,kills,attackGranted,healthGranted,attackRemoved,healthRemoved,buffCreatureDamage,buffBaseDamage,tokensGenerated,movesGenerated
erstsemester,forschung_muskelkraft__ohne_pc,control,1200,233,917,694,223,223,0.7568157033805889,0.485,0.49907578558225507,0.49678800856531047,3.8688760806916425,2381,484,0,404,0,0,0,0,0,0,0,0
koffein_junkie,forschung_muskelkraft__ohne_pc,control,1200,242,954,466,488,488,0.48846960167714887,0.485,0.4929328621908127,0.49586776859504134,4.864806866952789,2170,623,0,344,0,0,0,0,0,0,0,0
schildwall,forschung_muskelkraft__ohne_pc,control,1200,266,952,881,71,71,0.9254201680672269,0.485,0.49911504424778763,0.5064695009242144,5.409761634506243,0,0,0,0,0,2643,0,0,0,0,0,0
die_fakultaet,forschung_muskelkraft__ohne_pc,control,1200,240,843,758,85,85,0.8991696322657177,0.485,0.49506903353057197,0.5063025210084033,6.744063324538258,4626,589,0,651,0,0,0,0,0,0,0,0
kranfuehrer,forschung_muskelkraft__ohne_pc,control,1200,236,902,306,596,596,0.3392461197339246,0.485,0.4990859232175503,0.5265486725663717,8.058823529411764,1276,599,0,188,0,0,0,0,0,0,0,0
ritter,forschung_muskelkraft__ohne_pc,control,1200,247,885,548,337,337,0.6192090395480226,0.485,0.5092936802973977,0.518796992481203,6.633211678832117,2898,380,0,464,0,0,0,0,0,0,0,0
stahlgiesser,forschung_muskelkraft__ohne_pc,control,1200,245,882,616,266,266,0.6984126984126984,0.485,0.5,0.5425,8.019480519480519,4886,522,0,559,0,0,0,0,0,0,0,0
pfandsammler,forschung_muskelkraft__ohne_pc,control,1200,229,968,465,503,503,0.48037190082644626,0.485,0.49911504424778763,0.48517520215633425,4.520430107526882,1991,460,0,303,0,0,0,0,0,0,0,0
bibliothekar,forschung_muskelkraft__ohne_pc,control,600,105,449,217,232,232,0.48329621380846327,0.485,0.5167037861915368,0.5852534562211982,6.940092165898617,512,93,0,105,0,0,0,0,0,0,0,0
kommandantin,forschung_muskelkraft__ohne_pc,control,600,126,451,387,64,64,0.8580931263858093,0.485,0.5232815964523282,0.5788113695090439,6.754521963824289,1077,142,0,220,0,0,0,0,0,0,0,0
alter_wissenschaftler,forschung_muskelkraft__ohne_pc,control,600,115,443,244,199,199,0.5507900677200903,0.485,0.5395033860045146,0.569672131147541,8.012295081967213,1476,135,0,326,0,0,0,0,0,0,0,0
randy_marsh,forschung_muskelkraft__ohne_pc,control,600,116,456,338,118,118,0.7412280701754386,0.485,0.506578947368421,0.5532544378698225,7.387573964497041,1897,787,0,386,0,0,0,0,0,0,0,0
ratte,rudeljaeger__ohne_pc,control,1200,236,750,672,78,78,0.896,0.44333333333333336,0.4070450097847358,0.3782608695652174,4.715773809523809,1285,928,0,268,0,0,0,0,0,0,0,0
streunerkatze,rudeljaeger__ohne_pc,control,1200,249,735,669,66,66,0.9102040816326531,0.44333333333333336,0.4140625,0.3854166666666667,4.635276532137519,1447,970,0,307,0,0,0,0,0,0,0,0
getigerter,rudeljaeger__ohne_pc,control,1200,228,730,675,55,55,0.9246575342465754,0.44333333333333336,0.4280078895463511,0.4158004158004158,5.08,2006,1019,0,360,0,0,0,0,0,0,0,0
baer,rudeljaeger__ohne_pc,control,1200,243,606,590,16,16,0.9735973597359736,0.44333333333333336,0.35469107551487417,0.3427230046948357,6.142372881355932,2178,185,0,321,0,0,0,0,0,0,0,0
wolf,rudeljaeger__ohne_pc,control,1200,219,704,623,81,81,0.8849431818181818,0.44333333333333336,0.4004106776180698,0.35172413793103446,5.343499197431782,1392,288,0,246,0,0,0,0,0,0,0,0
wilder_instinkt,rudeljaeger__ohne_pc,control,1200,231,722,591,131,131,0.8185595567867036,0.44333333333333336,0.39919354838709675,0.29484029484029484,6.504230118443316,0,0,0,0,1182,0,0,0,505,98,0,0
pferd,rudeljaeger__ohne_pc,control,1200,264,717,678,39,39,0.9456066945606695,0.44333333333333336,0.4349593495934959,0.4264705882352941,5.314159292035399,2430,776,0,412,0,0,0,0,0,0,0,0
katzenmutter,rudeljaeger__ohne_pc,control,1200,233,734,684,50,50,0.9318801089918256,0.44333333333333336,0.38767395626242546,0.367983367983368,5.267543859649122,1063,149,0,152,0,0,0,0,0,0,0,0
luchs,rudeljaeger__ohne_pc,control,600,114,316,296,20,20,0.9367088607594937,0.44333333333333336,0.379746835443038,0.36486486486486486,6.905405405405405,1212,383,0,195,0,0,0,0,0,0,0,0
alphawolf,rudeljaeger__ohne_pc,control,600,123,305,293,12,12,0.9606557377049181,0.44333333333333336,0.3442622950819672,0.3310580204778157,6.764505119453925,961,76,0,143,0,0,0,0,0,0,0,0
vogelmensch,rudeljaeger__ohne_pc,control,600,122,318,305,13,13,0.9591194968553459,0.44333333333333336,0.3490566037735849,0.32786885245901637,6.80655737704918,980,73,0,150,0,0,0,0,0,0,0,0
junger_neffe,rudeljaeger__ohne_pc,control,600,138,362,283,79,79,0.7817679558011049,0.44333333333333336,0.3729281767955801,0.26501766784452296,6.904593639575972,642,46,0,122,0,0,0,0,0,0,0,0
erstsemester,forschung_muskelkraft__mit_pc,control,1200,248,953,647,306,306,0.6789087093389297,0.55,0.572202166064982,0.5757575757575758,3.469860896445131,2834,528,0,537,0,0,0,0,0,0,0,0
koffein_junkie,forschung_muskelkraft__mit_pc,control,1200,231,995,444,551,551,0.4462311557788945,0.55,0.5654450261780105,0.5749318801089919,4.058558558558558,2450,642,0,404,0,0,0,0,0,0,0,0
schildwall,forschung_muskelkraft__mit_pc,control,1200,244,985,911,74,74,0.9248730964467005,0.55,0.5666666666666667,0.5892193308550185,5.663007683863886,0,0,0,0,0,2733,0,0,0,0,0,0
die_fakultaet,forschung_muskelkraft__mit_pc,control,1200,248,859,753,106,106,0.8766006984866124,0.55,0.575098814229249,0.5953389830508474,7.147410358565737,5653,889,0,832,0,0,0,0,0,0,0,0
kranfuehrer,forschung_muskelkraft__mit_pc,control,1200,222,920,210,710,710,0.22826086956521738,0.55,0.558983666061706,0.5257142857142857,7.814285714285714,851,473,0,135,0,0,0,0,0,0,0,0
