deckA,deckB,botA,botB,startingPlayer,games,winsA,winsB,draws,winRateA,averageRounds,averageRemainingBaseHealth
forschung_muskelkraft__ohne_pc,rudeljaeger__ohne_pc,control,control,0,50,27,23,0,0.54,7.74,4.94
forschung_muskelkraft__ohne_pc,rudeljaeger__ohne_pc,control,control,1,50,28,21,1,0.5714285714285714,8.28,5.06
forschung_muskelkraft__mit_pc,rudeljaeger__mit_pc,control,control,0,50,27,22,1,0.5510204081632653,9.44,3.86
forschung_muskelkraft__mit_pc,rudeljaeger__mit_pc,control,control,1,50,23,26,1,0.46938775510204084,9.66,5.62
forschung_muskelkraft__mit_pc,rudeljaeger__ohne_pc,control,control,0,50,31,19,0,0.62,8.54,4.42
forschung_muskelkraft__mit_pc,rudeljaeger__ohne_pc,control,control,1,50,28,22,0,0.56,8.12,5.36
forschung_muskelkraft__ohne_pc,rudeljaeger__mit_pc,control,control,0,50,24,26,0,0.48,7.32,4.78
forschung_muskelkraft__ohne_pc,rudeljaeger__mit_pc,control,control,1,50,18,32,0,0.36,8.8,6.08
forschung_muskelkraft__ohne_pc,solidaritaet_ueberleben__ohne_pc,control,control,0,50,29,20,1,0.5918367346938775,10.46,4.26
forschung_muskelkraft__ohne_pc,solidaritaet_ueberleben__ohne_pc,control,control,1,50,27,23,0,0.54,10.48,4.04
forschung_muskelkraft__mit_pc,solidaritaet_ueberleben__mit_pc,control,control,0,50,25,22,3,0.5319148936170213,12.46,3.86
forschung_muskelkraft__mit_pc,solidaritaet_ueberleben__mit_pc,control,control,1,50,22,26,2,0.4583333333333333,11.98,4.44
forschung_muskelkraft__mit_pc,solidaritaet_ueberleben__ohne_pc,control,control,0,50,34,14,2,0.7083333333333334,11,4.44
forschung_muskelkraft__mit_pc,solidaritaet_ueberleben__ohne_pc,control,control,1,50,35,13,2,0.7291666666666666,10.92,4.26
forschung_muskelkraft__ohne_pc,solidaritaet_ueberleben__mit_pc,control,control,0,50,23,27,0,0.46,10.96,4.38
forschung_muskelkraft__ohne_pc,solidaritaet_ueberleben__mit_pc,control,control,1,50,20,27,3,0.425531914893617,11.7,3.48
forschung_muskelkraft__ohne_pc,urzeitliche_kolosse__ohne_pc,control,control,0,50,27,23,0,0.54,7.36,3.9
forschung_muskelkraft__ohne_pc,urzeitliche_kolosse__ohne_pc,control,control,1,50,24,26,0,0.48,8.12,4.26
forschung_muskelkraft__mit_pc,urzeitliche_kolosse__mit_pc,control,control,0,50,19,31,0,0.38,9.14,4.12
forschung_muskelkraft__mit_pc,urzeitliche_kolosse__mit_pc,control,control,1,50,23,27,0,0.46,8.94,4.22
forschung_muskelkraft__mit_pc,urzeitliche_kolosse__ohne_pc,control,control,0,50,31,19,0,0.62,8.5,4.08
forschung_muskelkraft__mit_pc,urzeitliche_kolosse__ohne_pc,control,control,1,50,32,18,0,0.64,8.5,4.04
forschung_muskelkraft__ohne_pc,urzeitliche_kolosse__mit_pc,control,control,0,50,21,29,0,0.42,7.92,4.34
forschung_muskelkraft__ohne_pc,urzeitliche_kolosse__mit_pc,control,control,1,50,23,27,0,0.46,8.6,4.1
rudeljaeger__ohne_pc,solidaritaet_ueberleben__ohne_pc,control,control,0,50,27,23,0,0.54,9.04,4.46
rudeljaeger__ohne_pc,solidaritaet_ueberleben__ohne_pc,control,control,1,50,15,35,0,0.3,10.06,3.96
rudeljaeger__mit_pc,solidaritaet_ueberleben__mit_pc,control,control,0,50,16,27,7,0.37209302325581395,11.82,3.72
rudeljaeger__mit_pc,solidaritaet_ueberleben__mit_pc,control,control,1,50,19,30,1,0.3877551020408163,9.86,4.4
rudeljaeger__mit_pc,solidaritaet_ueberleben__ohne_pc,control,control,0,50,29,21,0,0.58,10.14,4.88
rudeljaeger__mit_pc,solidaritaet_ueberleben__ohne_pc,control,control,1,50,26,22,2,0.5416666666666666,9.6,4.62
rudeljaeger__ohne_pc,solidaritaet_ueberleben__mit_pc,control,control,0,50,14,36,0,0.28,10.18,3.64
rudeljaeger__ohne_pc,solidaritaet_ueberleben__mit_pc,control,control,1,50,14,36,0,0.28,10.02,4.2
rudeljaeger__ohne_pc,urzeitliche_kolosse__ohne_pc,control,control,0,50,33,17,0,0.66,6.66,3.88
rudeljaeger__ohne_pc,urzeitliche_kolosse__ohne_pc,control,control,1,50,32,18,0,0.64,6.68,4.44
rudeljaeger__mit_pc,urzeitliche_kolosse__mit_pc,control,control,0,50,28,22,0,0.56,7.62,3.98
rudeljaeger__mit_pc,urzeitliche_kolosse__mit_pc,control,control,1,50,26,24,0,0.52,8.02,4.36
rudeljaeger__mit_pc,urzeitliche_kolosse__ohne_pc,control,control,0,50,35,15,0,0.7,7.92,3.46
rudeljaeger__mit_pc,urzeitliche_kolosse__ohne_pc,control,control,1,50,31,19,0,0.62,7.54,3.92
rudeljaeger__ohne_pc,urzeitliche_kolosse__mit_pc,control,control,0,50,23,27,0,0.46,7.44,4.64
rudeljaeger__ohne_pc,urzeitliche_kolosse__mit_pc,control,control,1,50,23,27,0,0.46,7.82,4.14
solidaritaet_ueberleben__ohne_pc,urzeitliche_kolosse__ohne_pc,control,control,0,50,20,29,1,0.40816326530612246,8.76,4.62
solidaritaet_ueberleben__ohne_pc,urzeitliche_kolosse__ohne_pc,control,control,1,50,23,27,0,0.46,9.22,4.08
solidaritaet_ueberleben__mit_pc,urzeitliche_kolosse__mit_pc,control,control,0,50,27,23,0,0.54,10.26,3.72
solidaritaet_ueberleben__mit_pc,urzeitliche_kolosse__mit_pc,control,control,1,50,20,29,1,0.40816326530612246,9.84,4.26
solidaritaet_ueberleben__mit_pc,urzeitliche_kolosse__ohne_pc,control,control,0,50,23,26,1,0.46938775510204084,9.58,3.7
solidaritaet_ueberleben__mit_pc,urzeitliche_kolosse__ohne_pc,control,control,1,50,26,24,0,0.52,9.14,4.28
solidaritaet_ueberleben__ohne_pc,urzeitliche_kolosse__mit_pc,control,control,0,50,14,34,2,0.2916666666666667,9.78,4.58
