matchId,deckId,botType,side,winner,startingPlayer,roundsPlayed,baseHealth,cardsDrawn,cardsPlayed,energySpent,energyUnused,creaturesSummoned,creaturesDestroyed,baseDamage,healing,laneMoves
pc-0c628cea-0,forschung_muskelkraft__ohne_pc,control,0,1,1,5,8,10,4,12,3,3,4,11,0,0
pc-0c628cea-0,rudeljaeger__ohne_pc,control,1,0,0,5,-1,9,4,11,4,4,0,2,0,0
pc-85affda7-1,forschung_muskelkraft__ohne_pc,control,0,0,1,5,-3,11,4,13,2,4,2,3,0,0
pc-85affda7-1,rudeljaeger__ohne_pc,control,1,1,0,5,7,9,4,13,1,4,2,13,0,0
pc-fefd4e64-2,forschung_muskelkraft__ohne_pc,control,0,1,1,6,4,13,6,19,1,5,3,12,0,0
pc-fefd4e64-2,rudeljaeger__ohne_pc,control,1,0,0,6,-2,9,6,20,0,6,1,6,0,1
pc-784abf22-3,forschung_muskelkraft__ohne_pc,control,0,0,1,6,0,15,6,19,1,5,4,0,0,0
pc-784abf22-3,rudeljaeger__ohne_pc,control,1,1,0,6,10,9,7,19,1,7,3,10,0,0
pc-272d09f4-4,forschung_muskelkraft__ohne_pc,control,0,0,1,5,-4,12,5,14,1,4,4,7,0,0
pc-272d09f4-4,rudeljaeger__ohne_pc,control,1,1,0,5,3,8,5,15,0,5,1,14,0,0
pc-a07a7ab1-5,forschung_muskelkraft__ohne_pc,control,0,0,1,5,-1,12,5,14,1,4,2,7,0,0
pc-a07a7ab1-5,rudeljaeger__ohne_pc,control,1,1,0,5,3,9,5,14,1,5,0,11,0,0
pc-19c7cb6f-6,forschung_muskelkraft__ohne_pc,control,0,1,1,9,3,17,12,43,2,10,11,12,0,0
pc-19c7cb6f-6,rudeljaeger__ohne_pc,control,1,0,0,9,-2,13,13,31,7,12,6,7,0,0
pc-93153c2c-7,forschung_muskelkraft__ohne_pc,control,0,1,1,10,1,20,11,39,12,9,11,11,0,0
pc-93153c2c-7,rudeljaeger__ohne_pc,control,1,0,0,10,-1,15,14,38,9,12,4,9,0,1
pc-41f786fe-8,forschung_muskelkraft__ohne_pc,control,0,1,1,13,1,22,16,61,25,14,13,11,0,0
pc-41f786fe-8,rudeljaeger__ohne_pc,control,1,0,0,13,-1,17,16,39,41,14,10,9,0,4
pc-bb44f7bb-9,forschung_muskelkraft__ohne_pc,control,0,1,1,9,2,17,12,41,1,10,3,10,0,0
pc-bb44f7bb-9,rudeljaeger__ohne_pc,control,1,0,0,9,0,13,9,28,8,7,8,8,0,2
pc-34924879-10,forschung_muskelkraft__ohne_pc,control,0,1,1,9,1,15,8,30,7,6,9,10,0,0
pc-34924879-10,rudeljaeger__ohne_pc,control,1,0,0,9,0,13,13,35,3,12,1,9,0,1
pc-addfb936-11,forschung_muskelkraft__ohne_pc,control,0,1,1,6,5,14,6,19,1,5,4,10,0,0
pc-addfb936-11,rudeljaeger__ohne_pc,control,1,0,0,6,0,10,7,21,0,6,2,5,0,0
pc-5cc20408-12,forschung_muskelkraft__ohne_pc,control,0,0,1,3,0,8,2,3,1,1,0,0,0,0
pc-5cc20408-12,rudeljaeger__ohne_pc,control,1,1,0,3,10,7,3,6,0,3,0,10,0,0
pc-d60f74c5-13,forschung_muskelkraft__ohne_pc,control,0,0,1,6,0,15,6,19,1,5,6,0,0,0
pc-d60f74c5-13,rudeljaeger__ohne_pc,control,1,1,0,6,10,10,8,21,0,8,2,10,0,0
pc-4f5cc583-14,forschung_muskelkraft__ohne_pc,control,0,0,1,5,0,12,5,12,3,4,3,0,0,0
pc-4f5cc583-14,rudeljaeger__ohne_pc,control,1,1,0,5,10,10,5,15,0,5,1,10,0,0
pc-c8aa3640-15,forschung_muskelkraft__ohne_pc,control,0,0,1,4,-1,9,3,7,3,2,2,3,0,0
pc-c8aa3640-15,rudeljaeger__ohne_pc,control,1,1,0,4,7,8,4,10,0,4,0,11,0,0
pc-778c8112-16,forschung_muskelkraft__ohne_pc,control,0,1,1,9,1,19,10,33,4,8,11,12,0,0
pc-778c8112-16,rudeljaeger__ohne_pc,control,1,0,0,9,-2,12,12,31,10,11,3,9,0,0
pc-f0d9f1cf-17,forschung_muskelkraft__ohne_pc,control,0,1,1,13,5,21,17,65,21,15,14,12,0,0
pc-f0d9f1cf-17,rudeljaeger__ohne_pc,control,1,0,0,13,-2,18,16,41,40,14,10,5,0,1
pc-6a27428d-18,forschung_muskelkraft__ohne_pc,control,0,0,1,10,-1,17,12,43,11,10,9,7,0,0
pc-6a27428d-18,rudeljaeger__ohne_pc,control,1,1,0,10,3,13,12,34,17,11,7,11,0,0
pc-e374b34a-19,forschung_muskelkraft__ohne_pc,control,0,1,1,9,4,21,8,30,6,7,11,14,0,0
pc-e374b34a-19,rudeljaeger__ohne_pc,control,1,0,0,9,-4,12,12,27,11,10,4,6,0,0
pc-92571e1c-20,forschung_muskelkraft__ohne_pc,control,0,1,1,9,3,21,11,38,4,9,12,13,0,0
pc-92571e1c-20,rudeljaeger__ohne_pc,control,1,0,0,9,-3,14,13,33,5,11,4,7,0,0
pc-0ba46eda-21,forschung_muskelkraft__ohne_pc,control,0,0,1,8,0,14,11,34,1,9,7,8,0,0
pc-0ba46eda-21,rudeljaeger__ohne_pc,control,1,1,0,8,2,11,11,23,6,9,6,10,0,0
pc-84f1df97-22,forschung_muskelkraft__ohne_pc,control,0,0,1,6,-1,14,6,19,1,5,7,3,0,0
pc-84f1df97-22,rudeljaeger__ohne_pc,control,1,1,0,6,7,9,9,21,0,8,2,11,0,0
pc-fe3f3054-23,forschung_muskelkraft__ohne_pc,control,0,1,1,7,4,15,8,26,1,6,6,10,0,0
pc-fe3f3054-23,rudeljaeger__ohne_pc,control,1,0,0,7,0,11,10,25,2,8,2,6,0,0
