matchId,deckId,botType,side,round,targetsAffected,attackRemoved,healthRemoved,boardValueBefore,boardValueAfter,boardValueRemoved,won,winWithinOneRound,winWithinTwoRounds
pc-87a9d1ff-100,rudeljaeger__mit_pc,control,1,6,2,8,11,21,4,17,true,true,true
pc-00f722bd-101,forschung_muskelkraft__mit_pc,control,0,6,4,10,6,20,7,13,true,false,false
pc-950f1084-102,rudeljaeger__mit_pc,control,1,7,4,18,27,49,8,41,true,false,false
pc-950f1084-102,forschung_muskelkraft__mit_pc,control,0,8,5,8,6,19,7,12,false,false,false
pc-e62ca5b2-105,forschung_muskelkraft__mit_pc,control,0,6,5,9,8,22,7,15,true,false,false
pc-7a44937a-106,forschung_muskelkraft__mit_pc,control,0,8,4,6,4,14,6,8,false,false,false
pc-f391e437-107,rudeljaeger__mit_pc,control,1,6,1,5,6,12,2,10,false,false,false
pc-bd3ecc13-108,rudeljaeger__mit_pc,control,1,8,4,18,22,44,8,36,false,false,false
pc-bd3ecc13-108,forschung_muskelkraft__mit_pc,control,0,11,1,3,2,6,2,4,true,false,false
pc-1bc1bfc7-113,forschung_muskelkraft__mit_pc,control,0,6,4,9,8,21,6,15,true,false,false
pc-2926fe4c-115,rudeljaeger__mit_pc,control,1,6,2,9,10,21,4,17,true,true,true
pc-1c7fddd7-116,rudeljaeger__mit_pc,control,1,6,3,12,10,25,6,19,false,false,false
pc-1c7fddd7-116,forschung_muskelkraft__mit_pc,control,0,6,3,11,12,26,6,20,true,false,false
pc-29e51c5c-118,rudeljaeger__mit_pc,control,1,6,2,9,10,21,4,17,false,false,false
pc-29e51c5c-118,forschung_muskelkraft__mit_pc,control,0,6,5,15,14,34,10,24,true,false,false
pc-a3326d19-119,rudeljaeger__mit_pc,control,1,6,2,9,9,20,4,16,true,false,false
pc-a3326d19-119,forschung_muskelkraft__mit_pc,control,0,6,5,7,8,20,8,12,false,false,false
pc-01b540cd-120,forschung_muskelkraft__mit_pc,control,0,6,3,11,10,24,6,18,true,false,false
pc-0f1a9f52-122,rudeljaeger__mit_pc,control,1,6,1,5,5,11,2,9,true,true,true
pc-5214d7eb-124,forschung_muskelkraft__mit_pc,control,0,6,4,6,2,12,5,7,true,false,false
pc-cb6228a8-125,forschung_muskelkraft__mit_pc,control,0,6,3,13,10,26,6,20,true,false,false
pc-cb6228a8-125,rudeljaeger__mit_pc,control,1,7,3,13,16,32,6,26,false,false,false
pc-5f7a1670-126,forschung_muskelkraft__mit_pc,control,0,10,2,6,0,8,2,6,false,false,false
pc-5f7a1670-126,rudeljaeger__mit_pc,control,1,15,3,8,9,20,5,15,false,false,false
pc-374a5ae1-128,rudeljaeger__mit_pc,control,1,6,4,13,15,32,8,24,false,false,false
pc-374a5ae1-128,forschung_muskelkraft__mit_pc,control,0,6,2,7,8,17,4,13,true,false,false
pc-44af9966-130,forschung_muskelkraft__mit_pc,control,0,6,4,8,4,16,6,10,true,false,false
pc-5dfdda50-132,rudeljaeger__mit_pc,control,1,6,3,12,16,31,6,25,false,false,false
pc-5dfdda50-132,forschung_muskelkraft__mit_pc,control,0,6,5,9,10,24,8,16,true,false,false
pc-6b6318d5-134,forschung_muskelkraft__mit_pc,control,0,7,2,5,2,9,3,6,true,false,false
pc-50989bcb-138,forschung_muskelkraft__mit_pc,control,0,6,3,9,4,16,5,11,true,true,true
pc-c9e5ec88-139,rudeljaeger__mit_pc,control,1,6,2,8,10,20,4,16,true,false,false
pc-c9e5ec88-139,forschung_muskelkraft__mit_pc,control,0,6,5,11,10,26,8,18,false,false,false
pc-0ce02522-141,forschung_muskelkraft__mit_pc,control,0,6,5,7,4,16,6,10,true,false,false
pc-0ce02522-141,rudeljaeger__mit_pc,control,1,15,4,14,12,30,6,24,false,false,false
pc-1a4563a7-143,rudeljaeger__mit_pc,control,1,6,3,12,13,28,6,22,true,false,false
pc-1a4563a7-143,forschung_muskelkraft__mit_pc,control,0,6,2,7,8,17,4,13,false,false,false
pc-78c8575a-144,rudeljaeger__mit_pc,control,1,6,3,12,12,27,6,21,false,false,false
pc-78c8575a-144,forschung_muskelkraft__mit_pc,control,0,9,4,10,10,24,7,17,true,false,false
pc-862d95df-146,rudeljaeger__mit_pc,control,1,8,5,22,21,48,10,38,false,false,false
pc-862d95df-146,forschung_muskelkraft__mit_pc,control,0,9,5,15,10,30,8,22,true,false,false
pc-ff7ae69c-147,forschung_muskelkraft__mit_pc,control,0,7,4,8,4,16,6,10,true,true,true
pc-f2d3c627-148,rudeljaeger__mit_pc,control,1,6,2,9,10,21,4,17,false,false,false
pc-f2d3c627-148,forschung_muskelkraft__mit_pc,control,0,6,4,7,8,19,6,13,true,false,false
pc-cfc9a199-150,forschung_muskelkraft__mit_pc,control,0,6,4,4,4,12,5,7,true,false,false
pc-cfc9a199-150,rudeljaeger__mit_pc,control,1,6,3,12,14,29,6,23,false,false,false
pc-567c50dc-151,forschung_muskelkraft__mit_pc,control,0,7,4,8,8,20,6,14,true,false,false
pc-ea943ea3-154,forschung_muskelkraft__mit_pc,control,0,6,1,4,4,9,2,7,false,false,false
pc-ea943ea3-154,rudeljaeger__mit_pc,control,1,6,3,10,12,25,6,19,true,false,false
pc-7146cde6-155,forschung_muskelkraft__mit_pc,control,0,7,4,6,4,14,6,8,true,false,false
pc-7146cde6-155,rudeljaeger__mit_pc,control,1,9,4,19,26,49,8,41,false,false,false
pc-f7f97d28-156,rudeljaeger__mit_pc,control,1,9,4,23,18,45,7,38,false,false,false
pc-f7f97d28-156,forschung_muskelkraft__mit_pc,control,0,9,3,7,8,18,5,13,false,false,false
