cardId,deckId,botType,inDeck,startHand,drawn,played,notPlayed,endHand,playRate,winRateInDeck,winRateDrawn,winRatePlayed,averagePlayRound,creatureDamage,baseDamage,healing,kills,attackGranted,healthGranted,attackRemoved,healthRemoved,buffCreatureDamage,buffBaseDamage,tokensGenerated,movesGenerated
erstsemester,forschung_muskelkraft__ohne_pc,control,1200,242,943,725,218,218,0.7688229056203606,0.475,0.5018248175182481,0.5030927835051546,3.9779310344827588,2686,504,0,480,0,0,0,0,0,0,0,0
koffein_junkie,forschung_muskelkraft__ohne_pc,control,1200,234,965,448,517,517,0.46424870466321244,0.475,0.4841549295774648,0.48314606741573035,4.870535714285714,2033,483,0,327,0,0,0,0,0,0,0,0
schildwall,forschung_muskelkraft__ohne_pc,control,1200,235,960,895,65,65,0.9322916666666666,0.475,0.49733570159857904,0.512014787430684,5.372067039106145,0,0,0,0,0,2685,0,0,0,0,0,0
die_fakultaet,forschung_muskelkraft__ohne_pc,control,1200,243,841,754,87,87,0.896551724137931,0.475,0.49224806201550386,0.5145833333333333,6.636604774535809,5058,732,0,705,0,0,0,0,0,0,0,0
kranfuehrer,forschung_muskelkraft__ohne_pc,control,1200,231,919,275,644,644,0.2992383025027203,0.475,0.48731884057971014,0.5072463768115942,8.04,1037,524,0,157,0,0,0,0,0,0,0,0
ritter,forschung_muskelkraft__ohne_pc,control,1200,237,897,560,337,337,0.6243032329988851,0.475,0.4861878453038674,0.4794188861985472,6.4071428571428575,3031,408,0,495,0,0,0,0,0,0,0,0
stahlgiesser,forschung_muskelkraft__ohne_pc,control,1200,240,886,619,267,267,0.698645598194131,0.475,0.4934823091247672,0.5221674876847291,8.014539579967689,4501,399,0,542,0,0,0,0,0,0,0,0
pfandsammler,forschung_muskelkraft__ohne_pc,control,1200,260,953,481,472,472,0.5047219307450157,0.475,0.4955595026642984,0.4935400516795866,4.598752598752599,2100,411,0,322,0,0,0,0,0,0,0,0
bibliothekar,forschung_muskelkraft__ohne_pc,control,600,122,463,231,232,232,0.49892008639308855,0.475,0.5140388768898488,0.5627705627705628,6.783549783549783,661,125,0,142,0,0,0,0,0,0,0,0
kommandantin,forschung_muskelkraft__ohne_pc,control,600,132,452,399,53,53,0.8827433628318584,0.475,0.5331858407079646,0.5764411027568922,6.684210526315789,1200,188,0,244,0,0,0,0,0,0,0,0
alter_wissenschaftler,forschung_muskelkraft__ohne_pc,control,600,110,446,251,195,195,0.5627802690582959,0.475,0.5179372197309418,0.5258964143426295,8.107569721115539,1271,129,0,274,0,0,0,0,0,0,0,0
randy_marsh,forschung_muskelkraft__ohne_pc,control,600,114,462,336,126,126,0.7272727272727273,0.475,0.5194805194805194,0.5505952380952381,7.502976190476191,2135,844,0,418,0,0,0,0,0,0,0,0
ratte,rudeljaeger__ohne_pc,control,1200,239,737,663,74,74,0.8995929443690638,0.4483333333333333,0.4361493123772102,0.4172043010752688,4.5233785822021115,1361,963,0,287,0,0,0,0,0,0,0,0
streunerkatze,rudeljaeger__ohne_pc,control,1200,233,689,623,66,66,0.9042089985486212,0.4483333333333333,0.44242424242424244,0.415929203539823,4.695024077046549,1277,884,0,283,0,0,0,0,0,0,0,0
