deckA,deckB,botA,botB,startingPlayer,games,winsA,winsB,draws,winRateA,averageRounds,averageRemainingBaseHealth
forschung_muskelkraft__ohne_pc,rudeljaeger__ohne_pc,control,control,0,50,24,26,0,0.48,7.86,5.08
forschung_muskelkraft__ohne_pc,rudeljaeger__ohne_pc,control,control,1,50,28,22,0,0.56,7.36,5.24
forschung_muskelkraft__mit_pc,rudeljaeger__mit_pc,control,control,0,50,28,22,0,0.56,8.16,5.32
forschung_muskelkraft__mit_pc,rudeljaeger__mit_pc,control,control,1,50,19,29,2,0.3958333333333333,9.36,5.5
forschung_muskelkraft__mit_pc,rudeljaeger__ohne_pc,control,control,0,50,27,23,0,0.54,7.48,4.92
forschung_muskelkraft__mit_pc,rudeljaeger__ohne_pc,control,control,1,50,29,21,0,0.58,7.52,5.26
forschung_muskelkraft__ohne_pc,rudeljaeger__mit_pc,control,control,0,50,23,26,1,0.46938775510204084,8.38,4.04
forschung_muskelkraft__ohne_pc,rudeljaeger__mit_pc,control,control,1,50,24,23,3,0.5106382978723404,9.3,4.98
forschung_muskelkraft__ohne_pc,solidaritaet_ueberleben__ohne_pc,control,control,0,50,31,18,1,0.6326530612244898,9.86,4.2
forschung_muskelkraft__ohne_pc,solidaritaet_ueberleben__ohne_pc,control,control,1,50,30,20,0,0.6,10.56,4
forschung_muskelkraft__mit_pc,solidaritaet_ueberleben__mit_pc,control,control,0,50,23,24,3,0.48936170212765956,12.46,4.28
forschung_muskelkraft__mit_pc,solidaritaet_ueberleben__mit_pc,control,control,1,50,27,20,3,0.574468085106383,11.72,4.16
forschung_muskelkraft__mit_pc,solidaritaet_ueberleben__ohne_pc,control,control,0,50,35,14,1,0.7142857142857143,10.08,5.24
forschung_muskelkraft__mit_pc,solidaritaet_ueberleben__ohne_pc,control,control,1,50,36,12,2,0.75,10.94,4.76
forschung_muskelkraft__ohne_pc,solidaritaet_ueberleben__mit_pc,control,control,0,50,19,28,3,0.40425531914893614,11.04,4.76
forschung_muskelkraft__ohne_pc,solidaritaet_ueberleben__mit_pc,control,control,1,50,17,32,1,0.3469387755102041,10.8,4.94
forschung_muskelkraft__ohne_pc,urzeitliche_kolosse__ohne_pc,control,control,0,50,25,25,0,0.5,7.94,3.4
forschung_muskelkraft__ohne_pc,urzeitliche_kolosse__ohne_pc,control,control,1,50,30,20,0,0.6,7.96,4.2
forschung_muskelkraft__mit_pc,urzeitliche_kolosse__mit_pc,control,control,0,50,27,23,0,0.54,9.36,4.4
forschung_muskelkraft__mit_pc,urzeitliche_kolosse__mit_pc,control,control,1,50,27,23,0,0.54,9.52,3.8
forschung_muskelkraft__mit_pc,urzeitliche_kolosse__ohne_pc,control,control,0,50,30,20,0,0.6,7.66,4.36
forschung_muskelkraft__mit_pc,urzeitliche_kolosse__ohne_pc,control,control,1,50,26,24,0,0.52,7.84,4.58
forschung_muskelkraft__ohne_pc,urzeitliche_kolosse__mit_pc,control,control,0,50,19,30,1,0.3877551020408163,8.18,4
forschung_muskelkraft__ohne_pc,urzeitliche_kolosse__mit_pc,control,control,1,50,15,34,1,0.30612244897959184,8.7,4.58
rudeljaeger__ohne_pc,solidaritaet_ueberleben__ohne_pc,control,control,0,50,30,20,0,0.6,8.72,4.54
rudeljaeger__ohne_pc,solidaritaet_ueberleben__ohne_pc,control,control,1,50,20,30,0,0.4,8.52,4.32
rudeljaeger__mit_pc,solidaritaet_ueberleben__mit_pc,control,control,0,50,22,25,3,0.46808510638297873,11.22,4.56
rudeljaeger__mit_pc,solidaritaet_ueberleben__mit_pc,control,control,1,50,19,30,1,0.3877551020408163,10.08,4.24
rudeljaeger__mit_pc,solidaritaet_ueberleben__ohne_pc,control,control,0,50,30,19,1,0.6122448979591837,8.9,4.78
rudeljaeger__mit_pc,solidaritaet_ueberleben__ohne_pc,control,control,1,50,24,24,2,0.5,9.66,4.18
rudeljaeger__ohne_pc,solidaritaet_ueberleben__mit_pc,control,control,0,50,17,33,0,0.34,10,3.84
rudeljaeger__ohne_pc,solidaritaet_ueberleben__mit_pc,control,control,1,50,14,35,1,0.2857142857142857,9.12,4.7
rudeljaeger__ohne_pc,urzeitliche_kolosse__ohne_pc,control,control,0,50,27,23,0,0.54,7.88,3.28
rudeljaeger__ohne_pc,urzeitliche_kolosse__ohne_pc,control,control,1,50,26,24,0,0.52,7.8,4.42
rudeljaeger__mit_pc,urzeitliche_kolosse__mit_pc,control,control,0,50,38,12,0,0.76,8.12,4.62
rudeljaeger__mit_pc,urzeitliche_kolosse__mit_pc,control,control,1,50,33,17,0,0.66,7.08,4.4
rudeljaeger__mit_pc,urzeitliche_kolosse__ohne_pc,control,control,0,50,34,15,1,0.6938775510204082,7.82,4.18
rudeljaeger__mit_pc,urzeitliche_kolosse__ohne_pc,control,control,1,50,35,15,0,0.7,6.92,5.24
rudeljaeger__ohne_pc,urzeitliche_kolosse__mit_pc,control,control,0,50,26,24,0,0.52,7.36,4.26
rudeljaeger__ohne_pc,urzeitliche_kolosse__mit_pc,control,control,1,50,17,33,0,0.34,8.22,3.7
solidaritaet_ueberleben__ohne_pc,urzeitliche_kolosse__ohne_pc,control,control,0,50,22,28,0,0.44,8.82,4.38
solidaritaet_ueberleben__ohne_pc,urzeitliche_kolosse__ohne_pc,control,control,1,50,23,27,0,0.46,9.26,4.3
solidaritaet_ueberleben__mit_pc,urzeitliche_kolosse__mit_pc,control,control,0,50,20,30,0,0.4,9.86,4.62
solidaritaet_ueberleben__mit_pc,urzeitliche_kolosse__mit_pc,control,control,1,50,19,30,1,0.3877551020408163,10.82,3.88
solidaritaet_ueberleben__mit_pc,urzeitliche_kolosse__ohne_pc,control,control,0,50,32,18,0,0.64,9.04,4.06
solidaritaet_ueberleben__mit_pc,urzeitliche_kolosse__ohne_pc,control,control,1,50,34,16,0,0.68,9.36,3.76
solidaritaet_ueberleben__ohne_pc,urzeitliche_kolosse__mit_pc,control,control,0,50,12,38,0,0.24,9.88,4.78
solidaritaet_ueberleben__ohne_pc,urzeitliche_kolosse__mit_pc,control,control,1,50,20,30,0,0.4,9.3,5
