matchId,deckId,botType,side,winner,startingPlayer,roundsPlayed,baseHealth,cardsDrawn,cardsPlayed,energySpent,energyUnused,creaturesSummoned,creaturesDestroyed,baseDamage,healing,laneMoves
pc-0acf63b0-0,forschung_muskelkraft__ohne_pc,control,0,1,1,13,1,22,18,67,17,16,10,12,0,0
pc-0acf63b0-0,rudeljaeger__ohne_pc,control,1,0,0,13,-2,16,16,42,39,14,12,9,0,2
pc-918212f2-1,forschung_muskelkraft__ohne_pc,control,0,0,1,3,-1,7,3,4,1,1,0,3,0,0
pc-918212f2-1,rudeljaeger__ohne_pc,control,1,1,0,3,7,6,3,6,0,2,0,11,0,0
pc-fd6a252a-2,forschung_muskelkraft__ohne_pc,control,0,1,1,9,4,21,10,32,4,8,11,12,0,0
pc-fd6a252a-2,rudeljaeger__ohne_pc,control,1,0,0,9,-2,12,12,27,11,10,4,6,0,0
pc-841cd46d-3,forschung_muskelkraft__ohne_pc,control,0,1,1,8,2,16,8,29,3,7,10,11,0,0
pc-841cd46d-3,rudeljaeger__ohne_pc,control,1,0,0,8,-1,12,12,27,4,10,4,8,0,0
pc-f004e6a5-4,forschung_muskelkraft__ohne_pc,control,0,0,1,3,0,11,3,5,1,2,0,0,0,0
pc-f004e6a5-4,rudeljaeger__ohne_pc,control,1,1,0,3,10,6,3,6,0,3,0,10,0,0
pc-76b795e8-5,forschung_muskelkraft__ohne_pc,control,0,0,1,5,-1,12,4,13,2,4,4,2,0,0
pc-76b795e8-5,rudeljaeger__ohne_pc,control,1,1,0,5,8,10,5,14,1,5,0,11,0,0
pc-e29fa820-6,forschung_muskelkraft__ohne_pc,control,0,1,1,16,2,22,15,61,63,13,18,9,0,0
pc-e29fa820-6,rudeljaeger__ohne_pc,control,1,0,0,16,0,20,20,53,72,18,8,7,0,2
pc-69525763-7,forschung_muskelkraft__ohne_pc,control,0,0,1,5,-1,11,5,12,3,4,4,9,0,0
pc-69525763-7,rudeljaeger__ohne_pc,control,1,1,0,5,1,8,5,14,1,5,0,11,0,0
pc-d53a699b-8,forschung_muskelkraft__ohne_pc,control,0,0,1,7,-5,14,8,26,2,6,4,6,0,0
pc-d53a699b-8,rudeljaeger__ohne_pc,control,1,1,0,7,4,10,8,25,1,7,2,15,0,0
pc-5bed18de-9,forschung_muskelkraft__ohne_pc,control,0,1,1,9,2,18,8,30,6,7,9,10,0,0
pc-5bed18de-9,rudeljaeger__ohne_pc,control,1,0,0,9,0,15,12,31,8,11,3,8,0,0
pc-c7d52b16-10,forschung_muskelkraft__ohne_pc,control,0,0,1,5,-1,13,4,13,2,4,1,0,0,0
pc-c7d52b16-10,rudeljaeger__ohne_pc,control,1,1,0,5,10,9,4,14,1,4,3,11,0,0
pc-4e87da59-11,forschung_muskelkraft__ohne_pc,control,0,0,1,3,0,10,3,5,1,2,0,0,0,0
pc-4e87da59-11,rudeljaeger__ohne_pc,control,1,1,0,3,10,7,3,6,0,3,0,10,0,0
pc-ba6fec91-12,forschung_muskelkraft__ohne_pc,control,0,1,1,11,4,21,13,54,9,12,12,10,0,0
pc-ba6fec91-12,rudeljaeger__ohne_pc,control,1,0,0,11,0,15,14,39,21,13,8,6,0,1
pc-41229bd4-13,forschung_muskelkraft__ohne_pc,control,0,1,1,10,3,19,9,33,12,7,11,15,0,0
pc-41229bd4-13,rudeljaeger__ohne_pc,control,1,0,0,10,-5,14,13,35,14,11,2,7,0,0
pc-ad0aae0c-14,forschung_muskelkraft__ohne_pc,control,0,0,1,4,0,9,3,7,3,2,3,0,0,0
pc-ad0aae0c-14,rudeljaeger__ohne_pc,control,1,1,0,4,10,8,5,10,0,4,0,10,0,0
pc-33bd5d4f-15,forschung_muskelkraft__ohne_pc,control,0,1,1,11,3,19,14,53,2,12,14,10,0,0
pc-33bd5d4f-15,rudeljaeger__ohne_pc,control,1,0,0,11,0,17,15,44,17,14,8,7,0,3
pc-75f977d8-16,forschung_muskelkraft__ohne_pc,control,0,1,1,9,6,19,10,37,4,9,8,13,0,0
pc-75f977d8-16,rudeljaeger__ohne_pc,control,1,0,0,9,-3,13,12,33,5,11,4,4,0,1
pc-fcac071a-17,forschung_muskelkraft__ohne_pc,control,0,0,1,5,-1,14,4,13,2,4,5,0,0,0
pc-fcac071a-17,rudeljaeger__ohne_pc,control,1,1,0,5,10,9,7,11,1,6,2,11,0,0
pc-68943953-18,forschung_muskelkraft__ohne_pc,control,0,0,1,4,0,11,4,9,1,3,1,2,0,0
pc-68943953-18,rudeljaeger__ohne_pc,control,1,1,0,4,8,8,4,9,1,4,1,10,0,0
pc-ef46c895-19,forschung_muskelkraft__ohne_pc,control,0,1,1,11,1,21,13,49,10,11,13,10,0,0
pc-ef46c895-19,rudeljaeger__ohne_pc,control,1,0,0,11,0,14,14,36,24,14,7,9,0,1
pc-5b2eface-20,forschung_muskelkraft__ohne_pc,control,0,1,1,12,2,21,19,67,4,17,11,13,0,0
pc-5b2eface-20,rudeljaeger__ohne_pc,control,1,0,0,12,-3,17,15,40,30,14,12,8,0,0
pc-e1e18a10-21,forschung_muskelkraft__ohne_pc,control,0,0,1,6,-3,15,6,19,1,5,3,0,0,0
pc-e1e18a10-21,rudeljaeger__ohne_pc,control,1,1,0,6,10,10,7,19,1,7,1,13,0,1
pc-4dc9bc49-22,forschung_muskelkraft__ohne_pc,control,0,0,1,7,-2,17,6,24,3,6,4,0,0,0
pc-4dc9bc49-22,rudeljaeger__ohne_pc,control,1,1,0,7,10,10,7,22,2,7,4,12,0,0
pc-d47c4b8b-23,forschung_muskelkraft__ohne_pc,control,0,0,1,6,-3,13,5,17,3,4,3,4,0,0
pc-d47c4b8b-23,rudeljaeger__ohne_pc,control,1,1,0,6,6,9,8,19,1,6,1,13,0,0
pc-40647dc4-24,forschung_muskelkraft__ohne_pc,control,0,0,1,8,-2,17,9,32,3,9,8,9,0,0
pc-40647dc4-24,rudeljaeger__ohne_pc,control,1,1,0,8,1,13,10,30,3,10,6,12,0,1
pc-c7170d06-25,forschung_muskelkraft__ohne_pc,control,0,1,1,12,4,21,14,54,17,12,16,12,0,0
pc-c7170d06-25,rudeljaeger__ohne_pc,control,1,0,0,12,-2,16,16,42,26,15,9,6,0,1
pc-32ff3f3f-26,forschung_muskelkraft__ohne_pc,control,0,1,1,9,6,20,9,34,7,8,12,10,0,0
pc-32ff3f3f-26,rudeljaeger__ohne_pc,control,1,0,0,9,0,13,12,30,6,11,4,4,0,2
pc-b9b1ce81-27,forschung_muskelkraft__ohne_pc,control,0,1,1,8,1,19,9,32,2,7,8,14,0,0
pc-b9b1ce81-27,rudeljaeger__ohne_pc,control,1,0,0,8,-4,13,11,28,5,9,3,9,0,0
pc-2599e0ba-28,forschung_muskelkraft__ohne_pc,control,0,0,1,6,-3,15,6,19,1,5,6,7,0,0
pc-2599e0ba-28,rudeljaeger__ohne_pc,control,1,1,0,6,3,10,7,21,0,7,2,13,0,1
pc-ac4c8ffc-29,forschung_muskelkraft__ohne_pc,control,0,1,1,10,3,20,9,31,14,7,12,10,0,0
pc-ac4c8ffc-29,rudeljaeger__ohne_pc,control,1,0,0,10,0,16,14,33,14,12,2,7,0,0
pc-1834a235-30,forschung_muskelkraft__ohne_pc,control,0,1,1,11,6,23,16,59,2,14,13,11,0,0
pc-1834a235-30,rudeljaeger__ohne_pc,control,1,0,0,11,-1,17,14,38,18,14,9,4,0,0
pc-9ee75177-31,forschung_muskelkraft__ohne_pc,control,0,0,1,5,0,12,5,14,1,4,2,2,0,0
pc-9ee75177-31,rudeljaeger__ohne_pc,control,1,1,0,5,8,10,6,15,0,5,0,10,0,0
pc-e1236c00-32,forschung_muskelkraft__ohne_pc,control,0,0,1,6,-2,14,7,20,1,5,4,2,0,0
pc-e1236c00-32,rudeljaeger__ohne_pc,control,1,1,0,6,8,10,8,20,1,8,2,12,0,0
pc-67d61b43-33,forschung_muskelkraft__ohne_pc,control,0,0,1,6,-3,15,5,18,2,5,6,0,0,0
pc-67d61b43-33,rudeljaeger__ohne_pc,control,1,1,0,6,10,9,9,18,3,8,3,13,0,0
pc-d3be2d7b-34,forschung_muskelkraft__ohne_pc,control,0,1,1,11,3,19,14,52,12,12,10,12,0,0
pc-d3be2d7b-34,rudeljaeger__ohne_pc,control,1,0,0,11,-2,16,14,41,19,13,7,7,0,0
pc-5a70dcbe-35,forschung_muskelkraft__ohne_pc,control,0,1,1,15,1,22,20,71,34,18,18,12,0,0
pc-5a70dcbe-35,rudeljaeger__ohne_pc,control,1,0,0,15,-2,20,19,51,57,18,16,9,0,0
pc-c658eef6-36,forschung_muskelkraft__ohne_pc,control,0,0,1,5,-2,11,4,13,2,4,3,4,0,0
pc-c658eef6-36,rudeljaeger__ohne_pc,control,1,1,0,5,6,9,4,13,2,4,1,12,0,0
pc-4d0b9e39-37,forschung_muskelkraft__ohne_pc,control,0,1,1,10,2,21,13,43,12,11,10,14,0,0
pc-4d0b9e39-37,rudeljaeger__ohne_pc,control,1,0,0,10,-4,14,13,38,12,12,6,8,0,1
pc-b8f3b071-38,forschung_muskelkraft__ohne_pc,control,0,0,1,5,-3,10,5,14,1,4,2,5,0,0
pc-b8f3b071-38,rudeljaeger__ohne_pc,control,1,1,0,5,5,8,4,13,2,4,1,13,0,0
pc-3fa65fb4-39,forschung_muskelkraft__ohne_pc,control,0,0,1,5,0,13,5,14,1,4,4,9,0,0
pc-3fa65fb4-39,rudeljaeger__ohne_pc,control,1,1,0,5,1,9,5,13,0,5,1,10,0,0
pc-ab8e71ec-40,forschung_muskelkraft__ohne_pc,control,0,0,1,5,-3,11,6,13,2,4,1,5,0,0
pc-ab8e71ec-40,rudeljaeger__ohne_pc,control,1,1,0,5,5,10,4,14,1,4,0,13,0,0
