matchId,deckId,botType,side,round,targetsAffected,attackRemoved,healthRemoved,boardValueBefore,boardValueAfter,boardValueRemoved,won,winWithinOneRound,winWithinTwoRounds
pc-f5687e76-100,forschung_muskelkraft__mit_pc,control,0,6,3,3,2,8,4,4,true,false,false
pc-f5687e76-100,rudeljaeger__mit_pc,control,1,7,4,18,22,44,8,36,false,false,false
pc-7c1b0db9-101,rudeljaeger__mit_pc,control,1,6,3,0,0,3,3,0,false,false,false
pc-7c1b0db9-101,forschung_muskelkraft__mit_pc,control,0,6,2,6,8,16,4,12,true,false,false
pc-e8033ff1-102,forschung_muskelkraft__mit_pc,control,0,6,5,4,4,13,6,7,true,false,true
pc-6eb5cf34-103,forschung_muskelkraft__mit_pc,control,0,6,2,7,6,15,4,11,false,false,false
pc-6eb5cf34-103,rudeljaeger__mit_pc,control,1,13,4,17,18,39,7,32,true,false,false
pc-cd38a2e7-106,forschung_muskelkraft__mit_pc,control,0,10,2,7,6,15,4,11,true,true,true
pc-1d983a06-110,forschung_muskelkraft__mit_pc,control,0,6,4,5,4,13,6,7,true,false,false
pc-1032fb81-112,rudeljaeger__mit_pc,control,1,6,3,11,14,28,6,22,false,false,false
pc-1032fb81-112,forschung_muskelkraft__mit_pc,control,0,6,4,4,6,14,5,9,true,false,false
pc-89804c3e-115,forschung_muskelkraft__mit_pc,control,0,6,4,11,10,25,7,18,true,false,false
pc-8a3e6a4e-116,forschung_muskelkraft__mit_pc,control,0,7,1,0,0,1,1,0,true,true,true
pc-10f11991-117,forschung_muskelkraft__mit_pc,control,0,8,2,3,2,7,3,4,true,true,true
pc-6f73ed44-120,forschung_muskelkraft__mit_pc,control,0,6,5,8,4,17,7,10,true,false,false
pc-6f73ed44-120,rudeljaeger__mit_pc,control,1,8,3,15,18,36,6,30,false,false,false
pc-620eaebf-122,forschung_muskelkraft__mit_pc,control,0,6,3,10,8,21,5,16,true,false,false
pc-e8c15e01-123,rudeljaeger__mit_pc,control,1,6,1,5,5,11,2,9,false,false,false
pc-e8c15e01-123,forschung_muskelkraft__mit_pc,control,0,6,3,10,10,23,5,18,true,false,false
pc-b26e25dd-126,rudeljaeger__mit_pc,control,1,6,3,11,14,28,6,22,false,false,false
pc-b26e25dd-126,forschung_muskelkraft__mit_pc,control,0,6,2,8,10,20,4,16,true,false,false
pc-97a3a8d3-130,forschung_muskelkraft__mit_pc,control,0,8,2,3,0,5,2,3,true,false,false
pc-1f147626-132,forschung_muskelkraft__mit_pc,control,0,6,4,16,8,28,7,21,true,false,false
pc-0449f91c-136,rudeljaeger__mit_pc,control,1,7,5,22,25,52,10,42,true,false,true
pc-f6e4ba96-138,forschung_muskelkraft__mit_pc,control,0,6,4,9,8,21,7,14,true,false,false
pc-f6e4ba96-138,rudeljaeger__mit_pc,control,1,8,3,13,13,29,6,23,false,false,false
pc-7d9749d9-139,forschung_muskelkraft__mit_pc,control,0,6,4,14,10,28,7,21,true,true,true
pc-db5c1f7c-141,forschung_muskelkraft__mit_pc,control,0,6,3,11,10,24,6,18,false,false,false
pc-474431b5-142,forschung_muskelkraft__mit_pc,control,0,11,4,13,10,27,7,20,true,true,true
pc-cdf6c0f7-143,forschung_muskelkraft__mit_pc,control,0,6,4,9,6,19,7,12,false,false,false
pc-39def330-144,forschung_muskelkraft__mit_pc,control,0,6,4,6,2,12,5,7,true,false,false
pc-c0918272-145,rudeljaeger__mit_pc,control,1,6,3,12,12,27,6,21,false,false,false
pc-c0918272-145,forschung_muskelkraft__mit_pc,control,0,6,4,8,10,22,6,16,true,false,false
pc-2c79b4ab-146,forschung_muskelkraft__mit_pc,control,0,6,4,8,6,18,6,12,true,false,false
pc-b32c43ed-147,rudeljaeger__mit_pc,control,1,6,0,0,0,0,0,0,true,false,true
pc-b32c43ed-147,forschung_muskelkraft__mit_pc,control,0,6,3,12,12,27,6,21,false,false,false
pc-b3ea61fd-148,rudeljaeger__mit_pc,control,1,6,2,6,6,14,4,10,false,false,false
pc-b3ea61fd-148,forschung_muskelkraft__mit_pc,control,0,6,3,7,8,18,5,13,true,false,false
pc-3a9d1140-149,forschung_muskelkraft__mit_pc,control,0,6,3,13,10,26,6,20,false,false,false
pc-4aed8c96-152,forschung_muskelkraft__mit_pc,control,0,6,3,7,2,12,4,8,false,false,false
pc-5852cb1b-154,forschung_muskelkraft__mit_pc,control,0,6,2,8,8,18,4,14,false,false,false
pc-5852cb1b-154,rudeljaeger__mit_pc,control,1,6,3,13,14,30,6,24,false,false,false
pc-65b809a0-156,forschung_muskelkraft__mit_pc,control,0,6,2,6,6,14,4,10,false,false,false
pc-65b809a0-156,rudeljaeger__mit_pc,control,1,8,4,16,19,39,8,31,true,false,false
pc-22bdd107-162,rudeljaeger__mit_pc,control,1,8,4,22,25,51,8,43,true,false,false
pc-22bdd107-162,forschung_muskelkraft__mit_pc,control,0,11,5,21,18,44,10,34,false,false,false
pc-a9706049-165,rudeljaeger__mit_pc,control,1,6,3,14,17,34,6,28,true,true,true
pc-4babaaa6-167,rudeljaeger__mit_pc,control,1,6,3,14,14,31,6,25,true,true,true
pc-dfc3986d-168,rudeljaeger__mit_pc,control,1,6,3,12,14,29,6,23,false,false,false
pc-dfc3986d-168,forschung_muskelkraft__mit_pc,control,0,9,5,4,4,13,6,7,true,false,false
pc-ed28d6f2-170,forschung_muskelkraft__mit_pc,control,0,13,3,8,4,15,4,11,true,false,true
pc-ed28d6f2-170,rudeljaeger__mit_pc,control,1,15,4,11,12,27,6,21,false,false,false
pc-667627b0-171,rudeljaeger__mit_pc,control,1,6,3,14,16,33,6,27,false,false,false
