deckId,round,averageBaseHealth,averageBoardSize,averageHandSize,averageUnusedEnergy,averageControlledLanes
forschung_muskelkraft__mit_pc,1,10,0,4,1,0
forschung_muskelkraft__mit_pc,2,9.133333333333333,0,5,2,0
forschung_muskelkraft__mit_pc,3,7.5756578947368425,0.8273026315789473,5.639802631578948,2.9703947368421053,0.7203947368421053
forschung_muskelkraft__mit_pc,4,5.621138211382114,1.4764227642276422,5.43739837398374,3.856910569105691,0.8601626016260162
forschung_muskelkraft__mit_pc,5,4.982229402261712,2.1050080775444266,5.416801292407108,4.596122778675283,0.7512116316639742
forschung_muskelkraft__mit_pc,6,4.746967071057193,2.4783362218370883,6.23050259965338,5.428076256499134,1.2131715771230502
forschung_muskelkraft__mit_pc,7,4.53875236294896,3.217391304347826,6.465028355387524,6.251417769376181,1.6030245746691871
forschung_muskelkraft__mit_pc,8,3.970464135021097,3.9556962025316458,6.675105485232067,7.2974683544303796,1.6877637130801688
forschung_muskelkraft__mit_pc,9,3.9028871391076114,4.2362204724409445,6.797900262467191,8.170603674540683,1.858267716535433
forschung_muskelkraft__mit_pc,10,4.013986013986014,4.129370629370629,7.213286713286713,9.447552447552448,1.7727272727272727
forschung_muskelkraft__mit_pc,11,3.931914893617021,4.097872340425532,7.6680851063829785,10.417021276595746,1.7063829787234042
forschung_muskelkraft__mit_pc,12,3.717948717948718,4.230769230769231,7.4512820512820515,11.394871794871795,1.646153846153846
forschung_muskelkraft__mit_pc,13,3.75,4.201219512195122,7.396341463414634,12.268292682926829,1.5975609756097562
forschung_muskelkraft__mit_pc,14,3.174825174825175,4.4125874125874125,6.538461538461538,13.293706293706293,1.5944055944055944
forschung_muskelkraft__mit_pc,15,2.542056074766355,4.140186915887851,5.813084112149533,13.682242990654206,1.439252336448598
forschung_muskelkraft__mit_pc,16,1.8867924528301887,3.9245283018867925,5.3584905660377355,14.849056603773585,0.9056603773584906
forschung_muskelkraft__mit_pc,17,0.8235294117647058,4.588235294117647,7.294117647058823,16.352941176470587,0.8235294117647058
